awardgoverningsocietyname	awardname	awardreceivedname	awardreceivedawardyear	personname	prestige	award_age	award_decade	award_category	is_recent	stats_Focal Award	stats_Discipline	stats_Pathway Award	stats_# Awardees w/ This Award	stats_Percentage of Awardees with This Award	stats_Mean Academic Age at Time of Award
John Simon Guggenheim Memorial Foundation	Guggenheim Fellowship	Lawrence R. Sulak	2002	Sulak, Lawrence R	Highly Prestigious	23	2000s	Major Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	John Simon Guggenheim Memorial Foundation | Guggenheim Fellowship	2.0	1.0	14.0
American Astronomical Society	Bruno Rossi Prize	Lawrence R. Sulak	1989	Sulak, Lawrence R	Not Designated	36	1980s	Standard Award	False	American Association for the Advancement of Science, The (AAAS) | AAAS Fellow	Astronomy and Astrophysics	American Astronomical Society | Bruno Rossi Prize	1.0	0.018	20.0
American Physical Society	APS Fellow	Sulak, Lawrence Richard	1984	Sulak, Lawrence R	Not Designated	41	1980s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Physical Society | APS Fellow	1.0	0.5	21.0
American Physical Society	WKH Panofsky Prize in Experimental Particle Physics	Lawrence R. Sulak	2018	Sulak, Lawrence R	Prestigious	7	2010s	Notable Award	True	American Physical Society | WKH Panofsky Prize in Experimental Particle Physics	Astronomy and Astrophysics	Department of Energy | Outstanding Junior Investigator	1.0	1.0	7.0
Breakthrough Prizes	Breakthrough Prize in Fundamental Physics	Lawrence R. Sulak	2016	Sulak, Lawrence R	Not Designated	9	2010s	Standard Award	True	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Biophysics	Breakthrough Prizes | Breakthrough Prize in Fundamental Physics	1.0	0.033	23.0
Association for Behavioral and Cognitive Therapies	Outstanding Service to ABCT	Michael W. Otto	2010	Otto, Michael	Not Designated	15	2010s	Standard Award	False	American Psychological Association | Distinguished Scientific Awards for an Early Career Contribution to Psychology	Psychology, General	Association for Behavioral and Cognitive Therapies | Outstanding Service to ABCT	1.0	0.045	9.0
Association for Psychological Science	Fellow	Michael W. Otto	2017	Otto, Michael	Prestigious	8	2010s	Notable Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	International Society on General Relativity and Gravitation | Fellow	2.0	0.25	11.0
American Psychological Association	APA Fellow	Otto, Michael W	2013	Otto, Michael	Prestigious	12	2010s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Management	American Psychological Association | APA Fellow	1.0	1.0	12.0
American Psychological Association	Division 12-Society for a Science of Clinical Psychology/Distinguished Scientific Contributions to Clinical Psychology	Michael W. Otto	2019	Otto, Michael	Not Designated	6	2010s	Standard Award	True	American Psychological Association | APA Fellow	Clinical Psychology	American Psychological Association | Division 12-Society for a Science of Clinical Psychology/Distinguished Scientific Contributions to Clinical Psychology	1.0	0.032	33.0
American Psychological Association	Elizabeth Hurlock Beckman Award	Michael W. Otto	2019	Otto, Michael	Not Designated	6	2010s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Biomedical Sciences, General	American Psychological Association | Elizabeth Hurlock Beckman Award	1.0	1.0	25.0
American Psychological Association	Division 12-Society for a Science of Clinical Psychology/Toy Caldwell-Colbert Award for Distinguished Educator in Clinical Psychology	Michael Otto	2023	Otto, Michael	Not Designated	2	2020s	Standard Award	True	American Psychological Association | Award for Distinguished Professional Contributions to Applied Research	Gender Studies	American Psychological Association | Division 12-Society for a Science of Clinical Psychology/Toy Caldwell-Colbert Award for Distinguished Educator in Clinical Psychology	1.0	1.0	33.0
Brain and Behavior Research Foundation	BBRF Independent Investigator Grant	Michael W. Otto	2001	Otto, Michael	Not Designated	24	2000s	Standard Award	False	Academy for Radiology & Biomedical Imaging Research | Distinguished Investigator (DI) Award	Chemical Sciences, various	Brain and Behavior Research Foundation | BBRF Independent Investigator Grant	1.0	0.5	8.0
John Simon Guggenheim Memorial Foundation	Guggenheim Fellowship	Leonid A. Levin	1993	Levin, Leonid A	Highly Prestigious	32	1990s	Major Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	John Simon Guggenheim Memorial Foundation | Guggenheim Fellowship	2.0	1.0	14.0
American Academy of Arts and Sciences	American Academy of Arts and Sciences Member/Fellow	Leonid A. Levin	2014	Levin, Leonid A	Highly Prestigious	11	2010s	Major Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	1.0	0.5	23.0
International Mathematical Union	International Congresses of Mathematicians Plenary and Invited Speakers	Leonid Levin	1994	Levin, Leonid A	Not Designated	31	1990s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Applied Mathematics	International Mathematical Union | International Congresses of Mathematicians Plenary and Invited Speakers	3.0	0.6	16.7
National Academy of Sciences	Member of the National Academy of Sciences (NAS Member)	Levin, Leonid A.	2019	Levin, Leonid A	Highly Prestigious	6	2010s	Major Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	National Academy of Sciences | Member of the National Academy of Sciences (NAS Member)	2.0	1.0	27.0
Alexander Von Humboldt Foundation	Humboldt Research Award	Leonid Levin	2010	Levin, Leonid A	Not Designated	15	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Astronomy and Astrophysics	Alexander Von Humboldt Foundation | Humboldt Research Award	1.0	1.0	23.0
American Physical Therapy Association	Catherine Worthingham Fellows of APTA	LaDora V. Thompson	2022	Thompson, Ladora	Not Designated	3	2020s	Standard Award	True	American Congress of Rehabilitation Medicine | Elizabeth and Sidney Licht Award	Health Professions, various	American Physical Therapy Association | Catherine Worthingham Fellows of APTA	1.0	0.5	14.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Trachtenberg, Ari	2002	Trachtenberg, Ari	Prestigious	23	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
American Physical Society	APS Fellow	Tsui, Ophelia	2011	Tsui, Ophelia K C	Not Designated	14	2010s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Physical Society | APS Fellow	1.0	0.5	21.0
American Chemical Society	Arthur C Cope Scholar Award	James S. Panek	2002	Panek, James S	Prestigious	23	2000s	Notable Award	False	Agilent | Agilent Thought Leader Award	Biophysics	American Chemical Society | Arthur C Cope Scholar Award	1.0	1.0	5.0
Institute for Electrical and Electronics Engineers (IEEE)	IEEE Fellow	Ioannis Paschalidis	2014	Paschalidis, Ioannis	Not Designated	11	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Bioinformatics and Computational Biology	Institute for Electrical and Electronics Engineers (IEEE) | IEEE Fellow	1.0	0.3329999999999999	24.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	PASCHALIDIS, IOANNIS	2000	Paschalidis, Ioannis	Prestigious	25	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
National Academy of Engineering	US Frontiers of Engineering Participant	Ioannis Ch. Paschalidis	2002	Paschalidis, Ioannis	Not Designated	23	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Computer Engineering	National Academy of Engineering | US Frontiers of Engineering Participant	1.0	0.091	7.0
International Federation of Automatic Control	IFAC Fellow	Paschalidis, Ioannis	2023	Paschalidis, Ioannis	Not Designated	2	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Civil Engineering	International Federation of Automatic Control | IFAC Fellow	1.0	0.2	21.0
National Science Foundation (NSF)	National Artificial Intelligence Research Resource (NAIRR) Pilot Program Award	Paschalidis, Ioannis	2024	Paschalidis, Ioannis	Not Designated	1	2020s	Standard Award	True						
Institute for Operations Research and the Management Sciences (INFORMS)	Senior Member	Ioannis Paschalidis	2024	Paschalidis, Ioannis	Not Designated	1	2020s	Standard Award	True	Academy for Radiology & Biomedical Imaging Research | Distinguished Investigator (DI) Award	Biomedical Engineering	National Academy of Inventors | Senior Member	1.0	0.1669999999999999	18.0
Harvard University	Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows	Anita Patterson	1996	Patterson, Anita H	Not Designated	29	1990s	Standard Award	False	African Literature Association | Executive Council Service Award	French Language and Literature	Harvard University | Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows	1.0	1.0	9.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright Scholar	Anita Patterson	2011	Patterson, Anita H	Prestigious	14	2010s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Chemistry	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright Scholar	1.0	0.3329999999999999	0.0
Alfred P. Sloan Foundation	Sloan Research Fellowship-Mathematics	Robert Pollack	2006	Pollack, Robert J	Prestigious	19	2000s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Mathematics	Alfred P. Sloan Foundation | Sloan Research Fellowship-Mathematics	2.0	0.143	3.0
Simons Foundation	Simons Fellows in Mathematics	Robert Pollack	2016	Pollack, Robert J	Not Designated	9	2010s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Mathematics	Simons Foundation | Simons Fellows in Mathematics	2.0	0.143	30.5
Simons Foundation	Travel Support for Mathematicians Award	Robert Pollack	2023	Pollack, Robert J	Not Designated	2	2020s	Standard Award	True						
Harvard Radcliffe Institute for Advanced Study	Radcliffe Institute Fellowship	Petrus Liu	2021	Liu, Petrus	Prestigious	4	2020s	Notable Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	Harvard Radcliffe Institute for Advanced Study | Radcliffe Institute Fellowship	1.0	0.125	15.0
American Ornithological Society	Elective Member	Wasserman, Fred E	1984	Wasserman, Frederick E	Not Designated	41	1980s	Standard Award	False	American Association for the Advancement of Science, The (AAAS) | AAAS Fellow	Ecology	American Ornithological Society | Elective Member	1.0	0.013	7.0
Harvard Radcliffe Institute for Advanced Study	Radcliffe Institute Fellowship	Judith Lok	2023	Lok, Judith	Prestigious	2	2020s	Notable Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	Harvard Radcliffe Institute for Advanced Study | Radcliffe Institute Fellowship	1.0	0.125	15.0
American Society for Pharmacology and Experimental Therapeutics	Bernard B Brodie Award in Drug Metabolism	David J. Waxman	2018	Waxman, David J	Prestigious	7	2010s	Notable Award	True	American Association of Pharmaceutical Scientists | AAPS Distinguished Pharmaceutical Scientist Award	Agricultural/Biological Engineering and Bioengineering	American Society for Pharmacology and Experimental Therapeutics | Bernard B Brodie Award in Drug Metabolism	1.0	1.0	41.0
American Society for Pharmacology and Experimental Therapeutics	Fellow of the American Society for Pharmacology and Experimental Therapeutics (FASPET)	David J. Waxman	2023	Waxman, David J	Not Designated	2	2020s	Standard Award	True	American Cancer Society | Institutional Research Grants (IRG)	Biophysics	American Society for Pharmacology and Experimental Therapeutics | Fellow of the American Society for Pharmacology and Experimental Therapeutics (FASPET)	1.0	0.3329999999999999	35.0
John Simon Guggenheim Memorial Foundation	Guggenheim Fellowship	Richard B. Primack	2006	Primack, Richard	Highly Prestigious	19	2000s	Major Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	John Simon Guggenheim Memorial Foundation | Guggenheim Fellowship	2.0	1.0	14.0
Alexander Von Humboldt Foundation	Humboldt Research Award	Richard B. Primack	2013	Primack, Richard	Not Designated	12	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Astronomy and Astrophysics	Alexander Von Humboldt Foundation | Humboldt Research Award	1.0	1.0	23.0
Ecological Society of America	George Mercer Award	Richard B. Primack	2020	Primack, Richard	Prestigious	5	2020s	Notable Award	True	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Biological Sciences, various	Ecological Society of America | George Mercer Award	1.0	0.1669999999999999	34.0
Academia Europaea	Member of the Academia Europaea	Primack, Richard	2024	Primack, Richard	Not Designated	1	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Agricultural/Biological Engineering and Bioengineering	Society for Biomaterials | Founders Award	1.0	0.5	23.0
American Council of Learned Societies (ACLS)	Contemplative Practice Fellowships	Stephen R. Prothero	2000	Prothero, Stephen R	Not Designated	25	2000s	Standard Award	False	American Academy of Religion | American Academy of Religion Individual Research Grant	Asian Languages	American Council of Learned Societies (ACLS) | Contemplative Practice Fellowships	1.0	1.0	20.0
American Academy of Religion	AAR Book Award/Best First Book in the History of Religions	Stephen R. Prothero	1997	Prothero, Stephen R	Prestigious	28	1990s	Notable Award	False	American Philosophical Society | Franklin Grants	Religion/Religious Studies	American Academy of Religion | AAR Book Award/Best First Book in the History of Religions	1.0	0.1669999999999999	9.0
John W. Kluge Center, The	Scholars in Residence	Steve R. Prothero	2006	Prothero, Stephen R	Not Designated	19	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	History	John W. Kluge Center, The | Scholars in Residence	1.0	0.5	28.0
American Statistical Association	ASA Fellow	Weiner, Daniel	2023	Weiner, Daniel C	Not Designated	2	2020s	Standard Award	True	Alexander Von Humboldt Foundation | Humboldt Research Award	Applied Mathematics	American Statistical Association | ASA Fellow	1.0	0.3329999999999999	16.0
American Institute for Medical and Biological Engineering	Fellow	John A White	2005	White, John	Not Designated	20	2000s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	International Society on General Relativity and Gravitation | Fellow	2.0	0.25	11.0
Biomedical Engineering Society	BMES Fellow	John White	2006	White, John	Not Designated	19	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Agricultural/Biological Engineering and Bioengineering	Biomedical Engineering Society | BMES Fellow	1.0	0.5	21.0
International Academy of Medical and Biological Engineering	IAMBE Fellow	?John A. White	2019	White, John	Not Designated	6	2010s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Agricultural/Biological Engineering and Bioengineering	International Academy of Medical and Biological Engineering | IAMBE Fellow	1.0	0.5	29.0
National Institutes of Health (NIH)	NIH Outstanding Investigator Award (R35)	WHITE, LAURA FORSBERG	2021	White, Laura F	Not Designated	4	2020s	Standard Award	True	Academy of Behavioral Medicine Research | Neal Miller Award	Biomedical Sciences, General	National Institutes of Health (NIH) | NIH Outstanding Investigator Award (R35)	1.0	1.0	4.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Bjoern Reinhard	2010	Reinhard, Bjorn M	Prestigious	15	2010s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright Scholar	Ronald Kent Richardson	2005	Richardson, Ronald K	Prestigious	20	2000s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Chemistry	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright Scholar	1.0	0.3329999999999999	0.0
Harvard University	Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows	Ronald K. Richardson	2010	Richardson, Ronald K	Not Designated	15	2010s	Standard Award	False	African Literature Association | Executive Council Service Award	French Language and Literature	Harvard University | Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows	1.0	1.0	9.0
Harvard University	Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows	Ronald Kent Richardson	2005	Richardson, Ronald K	Not Designated	20	2000s	Standard Award	False	African Literature Association | Executive Council Service Award	French Language and Literature	Harvard University | Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows	1.0	1.0	9.0
Harvard University	Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows	Ronald Kent Richardson	1997	Richardson, Ronald K	Not Designated	28	1990s	Standard Award	False	African Literature Association | Executive Council Service Award	French Language and Literature	Harvard University | Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows	1.0	1.0	9.0
British Academy for the Humanities and Social Sciences	Fellow	RICKS, Christopher	1975	Ricks, Christopher	Not Designated	50	1970s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	International Society on General Relativity and Gravitation | Fellow	2.0	0.25	11.0
Andrew W. Mellon Foundation	Distinguished Achievement Award	christopher Ricks	2003	Ricks, Christopher	Prestigious	22	2000s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Near and Middle Eastern Languages and Cultures	Andrew W. Mellon Foundation | Distinguished Achievement Award	1.0	0.5	36.0
American Academy of Arts and Sciences	American Academy of Arts and Sciences Member/Fellow	Christopher Bruce Ricks	1991	Ricks, Christopher	Highly Prestigious	34	1990s	Major Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	1.0	0.5	23.0
National Endowment for the Humanities (NEH)	NEH Fellowships for University Teachers	Christopher B. Ricks	1992	Ricks, Christopher	Highly Prestigious	33	1990s	Major Award	False	Academia Europaea | Member of the Academia Europaea	English Language and Literature	National Endowment for the Humanities (NEH) | NEH Fellowships for University Teachers	1.0	0.3329999999999999	9.0
Keats-Shelley Association of America	Distinguished Scholar Award	Christopher Ricks	2010	Ricks, Christopher	Not Designated	15	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	History	American Society for Environmental History | Distinguished Scholar Award	1.0	0.5	38.0
Society for Textual Scholarship	Richard J. Finneran Award	Christopher Ricks	2017	Ricks, Christopher	Not Designated	8	2010s	Standard Award	True	Society for Textual Scholarship | Richard J. Finneran Award	Spanish Language and Literature	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright Scholar	1.0	1.0	23.0
Poetry Foundation	Pegasus Award for Poetry Criticism	Christopher Ricks	2016	Ricks, Christopher	Not Designated	9	2010s	Standard Award	True	Library of Congress | Rebekah Johnson Bobbitt National Prize	Composition, Rhetoric and Writing	Poetry Foundation | Pegasus Award for Poetry Criticism	1.0	0.5	22.0
Royal Society of Literature	RSL Fellows	Christopher Ricks	1970	Ricks, Christopher	Not Designated	55	1970s	Standard Award	False	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	History	Royal Society of Literature | RSL Fellows	1.0	0.025	27.0
American Academy of Arts and Sciences	American Academy of Arts and Sciences Member/Fellow	Robert, Dana L	2017	Robert, Dana L	Highly Prestigious	8	2010s	Major Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	1.0	0.5	23.0
Henry Luce Foundation, The	Henry Luce III Fellows in Theology	Dana L. Robert	2016	Robert, Dana L	Not Designated	9	2010s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Religion/Religious Studies	Henry Luce Foundation, The | Henry Luce III Fellows in Theology	1.0	1.0	11.0
American Society of Church History	The Frank S and Elizabeth D Brewer Prize	Jon H. Roberts	2002	Roberts, Jon H	Prestigious	23	2000s	Notable Award	False	American Council of Learned Societies (ACLS) | ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships)	Religion/Religious Studies	American Society of Church History | The Frank S and Elizabeth D Brewer Prize	1.0	0.143	7.0
Harvard University	Charles Warren Center for Studies in American History/Fellows	Jon Roberts?	1983	Roberts, Jon H	Not Designated	42	1980s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	American Studies	Harvard University | Charles Warren Center for Studies in American History/Fellows	1.0	1.0	8.0
Camargo Foundation	Camargo Core Program Fellowship	Jeremy Yudkin	1993	Yudkin, Jeremy	Not Designated	32	1990s	Standard Award	False	American Academy of Arts and Letters | Arts and Letters Awards	English Language and Literature	Camargo Foundation | Camargo Core Program Fellowship	1.0	0.1669999999999999	3.0
American Library Association	Outstanding Reference Sources	Jeremy Yudkin	2021	Yudkin, Jeremy	Not Designated	4	2020s	Standard Award	True	American Academy of Arts and Sciences | Don M. Randel Award for Humanistic Studies	American Studies	American Library Association | Outstanding Reference Sources	1.0	1.0	38.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright U.S. Student Program	Maurer, Christopher	1980	Maurer, Christopher H	Not Designated	45	1980s	Standard Award	False	Alexander Von Humboldt Foundation | Friedrich Wilhelm Bessel Research Awards	Chemical Engineering	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright U.S. Student Program	1.0	0.25	0.0
American Academy in Berlin	Berlin Prize Fellow	David Mayers	2008	Mayers, David A	Not Designated	17	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Germanic Languages and Literatures	American Academy in Berlin | Berlin Prize Fellow	1.0	0.5	13.0
Gilder Lehrman Institute of American History	Scholarly Fellowships	Mayers, David	2000	Mayers, David A	Not Designated	25	2000s	Standard Award	False	American Academy in Berlin | Distinguished Visitor	History	Gilder Lehrman Institute of American History | Scholarly Fellowships	1.0	0.5	7.0
Keats-Shelley Association of America	Distinguished Scholar Award	Charles Rzepka	2004	Rzepka, Charles J	Not Designated	21	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	History	American Society for Environmental History | Distinguished Scholar Award	1.0	0.5	38.0
Keats-Shelley Association of America	K-SAA Essay Prize	Charles Rzepka	2003	Rzepka, Charles J	Not Designated	22	2000s	Standard Award	False	Keats-Shelley Association of America | Distinguished Scholar Award	Comparative Literature	Keats-Shelley Association of America | K-SAA Essay Prize	1.0	1.0	15.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright Scholar	McCann, James Craig	2012	Mccann, James	Prestigious	13	2010s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Chemistry	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright Scholar	1.0	0.3329999999999999	0.0
John Simon Guggenheim Memorial Foundation	Guggenheim Fellowship	James C. McCann	2012	Mccann, James	Highly Prestigious	13	2010s	Major Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	John Simon Guggenheim Memorial Foundation | Guggenheim Fellowship	2.0	1.0	14.0
National Humanities Center	NHC Fellow	James C. McCann	1991	Mccann, James	Highly Prestigious	34	1990s	Major Award	False	Academia Europaea | Member of the Academia Europaea	American Studies	National Humanities Center | NHC Fellow	1.0	1.0	4.0
American Society for Environmental History	George Perkins Marsh Prize for Best Book in Environmental History	James C. McCann	2006	Mccann, James	Prestigious	19	2000s	Notable Award	False	American Association for the Advancement of Science, The (AAAS) | AAAS Fellow	History	American Society for Environmental History | George Perkins Marsh Prize for Best Book in Environmental History	1.0	0.25	5.0
National Endowment for the Humanities (NEH)	Summer Stipends Awards	James C. McCann	1985	Mccann, James	Not Designated	40	1980s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Near and Middle Eastern Languages and Cultures	National Endowment for the Humanities (NEH) | Summer Stipends Awards	1.0	0.5	29.0
American Society for Environmental History	Distinguished Scholar Award	James McCann	2014	Mccann, James	Not Designated	11	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	History	American Society for Environmental History | Distinguished Scholar Award	1.0	0.5	38.0
Harvard University	Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows	James McCann	2005	Mccann, James	Not Designated	20	2000s	Standard Award	False	African Literature Association | Executive Council Service Award	French Language and Literature	Harvard University | Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows	1.0	1.0	9.0
Office of Naval Research (ONR)	Young Investigator Program Award (YIP)	Venkatesh Saligrama	2002	Saligrama, Venkatesh	Prestigious	23	2000s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Computer Engineering	Office of Naval Research (ONR) | Young Investigator Program Award (YIP)	1.0	0.091	6.0
Institute for Electrical and Electronics Engineers (IEEE)	IEEE Fellow	Venkatesh Saligrama	2019	Saligrama, Venkatesh	Not Designated	6	2010s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Bioinformatics and Computational Biology	Institute for Electrical and Electronics Engineers (IEEE) | IEEE Fellow	1.0	0.3329999999999999	24.0
President of the United States of America	Presidential Early Career Awards for Scientists and Engineers (PECASE)	Venkatesh R. Saligrama	2002	Saligrama, Venkatesh	Prestigious	23	2000s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Applied Mathematics	President of the United States of America | Presidential Early Career Awards for Scientists and Engineers (PECASE)	1.0	0.2	5.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Venkatesh  Saligrama	2005	Saligrama, Venkatesh	Prestigious	20	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
IEEE Signal Processing Society	Distinguished Lecturer	Venkatesh Saligrama	2021	Saligrama, Venkatesh	Not Designated	4	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Biomedical Engineering	IEEE Signal Processing Society | Distinguished Lecturer	1.0	0.5	27.0
Life Sciences Research Foundation	LSRF Fellow	John Samuelson	1986	Samuelson, John Crawford	Not Designated	39	1980s	Standard Award	False	Academy of Diagnostics & Laboratory Medicine | Wallace H Coulter Lectureship Award	Bioinformatics and Computational Biology	Life Sciences Research Foundation | LSRF Fellow	1.0	0.3329999999999999	0.0
National Academies, The	Ford Foundation Fellowships/Predoctoral	Scott Edward Schaus	1996	Schaus, Scott E	Not Designated	29	1990s	Standard Award	False	Modern Language Association | Humanities Innovation Grants	English Language and Literature	National Academies, The | Ford Foundation Fellowships/Predoctoral	1.0	0.2	0.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Schaus, Scott	2004	Schaus, Scott E	Prestigious	21	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
Thieme Chemistry	Thieme Chemistry Journals Award	Scott E. Schaus	2006	Schaus, Scott E	Not Designated	19	2000s	Standard Award	False	Air Force Office of Scientific Research (AFOSR) | Young Investigator Program (YIP)	Biochemistry	Thieme Chemistry | Thieme Chemistry Journals Award	1.0	0.3329999999999999	5.0
Alfred P. Sloan Foundation	Sloan Research Fellowship-Physics	Martin Schmaltz	2003	Schmaltz, Martin	Prestigious	22	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	Alfred P. Sloan Foundation | Sloan Research Fellowship-Physics	1.0	0.5	2.0
Institute for Advanced Study	IAS School of Natural Science/Visitor	Martin Schmaltz	2007	Schmaltz, Martin	Not Designated	18	2000s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	Institute for Advanced Study | IAS School of Natural Science/Visitor	5.0	0.625	31.6
Department of Energy	Outstanding Junior Investigator	Martin Schmaltz	2002	Schmaltz, Martin	Not Designated	23	2000s	Standard Award	False	Alexander Von Humboldt Foundation | Humboldt Research Award	Astronomy and Astrophysics	Department of Energy | Outstanding Junior Investigator	1.0	0.2	6.0
Alexander Von Humboldt Foundation	Humboldt Research Award	Martin Schmaltz	2023	Schmaltz, Martin	Not Designated	2	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Astronomy and Astrophysics	Alexander Von Humboldt Foundation | Humboldt Research Award	1.0	1.0	23.0
American Physical Society	APS Fellow	Martin Schmaltz	2024	Schmaltz, Martin	Not Designated	1	2020s	Standard Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Physical Society | APS Fellow	1.0	0.5	21.0
