awardgoverningsocietyname,awardname,awardreceivedname,awardreceivedawardyear,personname,institutionname,prestige,asofdate_formatted
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"Byers, John",2001,"BYERS, JOHN W",Boston University,Prestigious,2024-12-06
Google,Google Faculty Research Award,John Byers,2012,"BYERS, JOHN W",Boston University,Not Designated,2024-12-06
IEEE Computer Society,Certificate of Appreciation,John Byers,2004,"BYERS, JOHN W",Boston University,Not Designated,2024-12-06
Institute for Advanced Study,IAS School of Historical Studies/Members,Tian Yu Cao,2004,"CAO, TIAN Y",Boston University,Prestigious,2024-12-06
Institute for Advanced Study,IAS School of Natural Science/Member,Tian Yu Cao,2004,"CAO, TIAN Y",Boston University,Not Designated,2024-12-06
"Gerontological Society of America, The",Fellow,"Carr, Deborah",1900,"CARR, DEBORAH",Boston University,Not Designated,2024-12-06
"Gerontological Society of America, The",Richard Kalish Innovative Publication Award,Deborah S. Carr,2020,"CARR, DEBORAH",Boston University,Prestigious,2024-12-06
Borchard Foundation Center on Law & Aging,Borchard Foundation Grants,Deborah Carr,2021,"CARR, DEBORAH",Boston University,Not Designated,2024-12-06
American Sociological Association,Aging and the Life Course Section/Matilda White Riley Distinguished Scholar Award,Deborah Carr,2022,"CARR, DEBORAH",Boston University,Not Designated,2024-12-06
American Sociological Association,Aging and the Life Course Section/Outstanding Mentor Award,Deborah Carr,2023,"CARR, DEBORAH",Boston University,Not Designated,2024-12-06
American Academy of Arts and Sciences,American Academy of Arts and Sciences Member/Fellow,Deborah Carr,2024,"CARR, DEBORAH",Boston University,Highly Prestigious,2024-12-06
"Econometric Society, The",Econometric Society Fellow,CHRISTOPHER CHAMLEY,1993,"CHAMLEY, CHRISTOPHE",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"CARRUTHERS, JEFFREY",1999,"CARRUTHERS, JEFFREY B",Boston University,Prestigious,2024-12-06
Institute for Electrical and Electronics Engineers (IEEE),IEEE Fellow,David Casta??n,2019,"CASTANON, DAVID A",Boston University,Not Designated,2024-12-06
IEEE Control Systems Society,IEEE CSS Distinguished Member Award,David Castanon,2006,"CASTANON, DAVID A",Boston University,Not Designated,2024-12-06
American Physical Society,APS Fellow,"Chamon, Claudio",2008,"CHAMON, CLAUDIO C",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Physics,Claudio Chamon,1999,"CHAMON, CLAUDIO C",Boston University,Prestigious,2024-12-06
Institute for Advanced Study,IAS School of Natural Science/Member,Claudio Chamon,1999,"CHAMON, CLAUDIO C",Boston University,Not Designated,2024-12-06
Simons Foundation,Simons Fellows in Theoretical Physics,Claudio Chamon,2017,"CHAMON, CLAUDIO C",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"CHAMON, CLAUDIO",1999,"CHAMON, CLAUDIO C",Boston University,Prestigious,2024-12-06
National Academy of Sciences,Kavli Frontiers of Science Fellows,Claudio Chamon,1999,"CHAMON, CLAUDIO C",Boston University,Not Designated,2024-12-06
President of the United States of America,Presidential Early Career Awards for Scientists and Engineers (PECASE),Christopher S. Chen,2000,"CHEN, CHRISTOPHER",Boston University,Prestigious,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Christopher Chen,2011,"CHEN, CHRISTOPHER",Boston University,Not Designated,2024-12-06
Office of Naval Research (ONR),Young Investigator Program Award (YIP),Christopher Chen,1999,"CHEN, CHRISTOPHER",Boston University,Prestigious,2024-12-06
Biomedical Engineering Society,BMES Fellow,Christopher S. Chen,2018,"CHEN, CHRISTOPHER",Boston University,Not Designated,2024-12-06
Biomedical Engineering Society,Pritzker Distinguished Lecture Award,Christopher Chen,2019,"CHEN, CHRISTOPHER",Boston University,Not Designated,2024-12-06
National Academy of Engineering,US Frontiers of Engineering Participant,Christopher S. Chen,2002,"CHEN, CHRISTOPHER",Boston University,Not Designated,2024-12-06
National Academy of Engineering,US Frontiers of Engineering Participant,Christopher S. Chen,2001,"CHEN, CHRISTOPHER",Boston University,Not Designated,2024-12-06
International Academy of Medical and Biological Engineering,IAMBE Fellow,?Christopher S. Chen,2021,"CHEN, CHRISTOPHER",Boston University,Not Designated,2024-12-06
Allen Institute,Allen Distinguished Investigator,Christopher S. Chen,2021,"CHEN, CHRISTOPHER",Boston University,Not Designated,2024-12-06
National Academy of Inventors,NAI Fellow,Christopher S. Chen,2022,"CHEN, CHRISTOPHER",Boston University,Not Designated,2024-12-06
American Statistical Association,ASA Fellow,Cindy L. Christiansen,2003,"CHRISTIANSEN, CINDY",Boston University,Not Designated,2024-12-06
American Statistical Association,ASA Fellow,"Cheng, Debbie",2023,"CHENG, DEBBIE",Boston University,Not Designated,2024-12-06
Drexel University,Institute for Women's Health and Leadership/ELAM Fellow,Debbie M. Cheng,2024,"CHENG, DEBBIE",Boston University,Not Designated,2024-12-06
"American Musicological Society, Inc.",Noah Greenberg Award,Victor Coelho,1999,"COELHO, VICTOR A",Boston University,Not Designated,2024-12-06
Harvard University,Center for Italian Renaissance Studies/I Tatti Fellow/Appointee,"Coelho, Victor",1997,"COELHO, VICTOR A",Boston University,Not Designated,2024-12-06
Harvard University,Center for Italian Renaissance Studies/I Tatti Fellow/Appointee,"Coelho, Victor",2004,"COELHO, VICTOR A",Boston University,Not Designated,2024-12-06
Russell Sage Foundation,Russell Sage Visiting Scholar,Elizabeth F. Cohen,2014,"COHEN, ELIZABETH F",Boston University,Not Designated,2024-12-06
American Political Science Association,Migration and Citizenship Section/Best Book Award,Elizabeth Cohen,2019,"COHEN, ELIZABETH F",Boston University,Not Designated,2024-12-06
Princeton University,University Center for Human Values/Laurance S. Rockefeller Visiting Faculty Fellowships,Elizabeth Cohen,2020,"COHEN, ELIZABETH F",Boston University,Prestigious,2024-12-06
