awardgoverningsocietyname,awardname,awardreceivedname,awardreceivedawardyear,personname,institutionname,prestige,asofdate_formatted
National Endowment for the Humanities (NEH),NEH Fellowship Programs at Independent Research Institutions,Fallou Ngom,2004,"NGOM, FALLOU",Boston University,Highly Prestigious,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Fallou Ngom,2011,"NGOM, FALLOU",Boston University,Highly Prestigious,2024-12-06
National Endowment for the Humanities (NEH),Collaborative Research Grant,"Ngom, Fallou",2019,"NGOM, FALLOU",Boston University,Not Designated,2024-12-06
African Studies Association,ASA Best Book Prize,Fallou Ngom,2017,"NGOM, FALLOU",Boston University,Highly Prestigious,2024-12-06
American Society of Primatologists,Conservation Grant,Cheryl Knott,2010,"KNOTT, CHERYL D",Boston University,Not Designated,2024-12-06
American Society of Primatologists,Conservation Grant,Cheryl Knott,2016,"KNOTT, CHERYL D",Boston University,Not Designated,2024-12-06
"Primate Conservation, Incorporated","Primate Conservation, Incorporated Grant",Cheryl Knott,2012,"KNOTT, CHERYL D",Boston University,Not Designated,2024-12-06
"Primate Conservation, Incorporated","Primate Conservation, Incorporated Grant",Cheryl D. Knott,1999,"KNOTT, CHERYL D",Boston University,Not Designated,2024-12-06
Wenner-Gren Foundation,Engaged Research Grant,"Knott, Cheryl D.",2014,"KNOTT, CHERYL D",Boston University,Not Designated,2024-12-06
Wenner-Gren Foundation,Post-Ph.D. Research Grant,"Knott, Cheryl D.",2012,"KNOTT, CHERYL D",Boston University,Not Designated,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Matt Cartmill,1985,"CARTMILL, MATTHEW",Boston University,Highly Prestigious,2024-12-06
American Anthropological Association,Biological Anthropology Section/W W Howells Book Award,Matt Cartmill,1993,"CARTMILL, MATTHEW",Boston University,Prestigious,2024-12-06
American Society for Environmental History,George Perkins Marsh Prize for Best Book in Environmental History,Matt Cartmill,1995,"CARTMILL, MATTHEW",Boston University,Prestigious,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,"Cartmill, Matt",1983,"CARTMILL, MATTHEW",Boston University,Prestigious,2024-12-06
American Association of Biological Anthropologists,Charles R. Darwin Lifetime Achievement Award,Matt Cartmill,2019,"CARTMILL, MATTHEW",Boston University,Prestigious,2024-12-06
National Institutes of Health (NIH),NIH Outstanding Investigator Award (R35),"BRADHAM, CYNTHIA",2023,"BRADHAM, CYNTHIA A",Boston University,Not Designated,2024-12-06
American Geophysical Union,Union Fellow,Sergio Fagherazzi,2023,"FAGHERAZZI, SERGIO",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Earth System Science,Robinson W. Fulweiler,2012,"FULWEILER, ROBINSON W",Boston University,Not Designated,2024-12-06
Association for the Sciences of Limnology and Oceanography,ASLO Fellow,R. Wally Fulweiler,2016,"FULWEILER, ROBINSON W",Boston University,Not Designated,2024-12-06
Coastal and Estuarine Research Federation,Cronin Award /Early Achievement,Robinson 'Wally' Fulweiler,2013,"FULWEILER, ROBINSON W",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Daniele Paserman,2007,"PASERMAN, M DANIELE",Boston University,Not Designated,2024-12-06
IZA Institute of Labor Economics,IZA Research Fellow,"Paserman, M. Daniele",2003,"PASERMAN, M DANIELE",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Stefania Garetto,2018,"GARETTO, STEFANIA",Boston University,Not Designated,2024-12-06
Emerald Publishing,Outstanding Author Contributions,Zhongjun Qu,2013,"QU, ZHONGJUN",Boston University,Not Designated,2024-12-06
American Academy of Arts and Sciences,American Academy of Arts and Sciences Member/Fellow,"Epstein , Larry G.",2013,"EPSTEIN, LARRY G",Boston University,Highly Prestigious,2024-12-06
"Econometric Society, The",Econometric Society Fellow,LARRY G. EPSTEIN,1989,"EPSTEIN, LARRY G",Boston University,Not Designated,2024-12-06
Harvard Society of Fellows,Harvard Society Junior Fellows,Anna Henchman,2004,"HENCHMAN, ANNA A",Boston University,Highly Prestigious,2024-12-06
Harvard Society of Fellows,Harvard Society Junior Fellows,Anna Henchman,2007,"HENCHMAN, ANNA A",Boston University,Highly Prestigious,2024-12-06
American Council of Learned Societies (ACLS),ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships),Anna Henchman?,2019,"HENCHMAN, ANNA A",Boston University,Highly Prestigious,2024-12-06
Stanford University,Stanford Humanities Center/External Faculty Fellowship,"Appleford , Amy",2010,"APPLEFORD, AMY ROSE",Boston University,Prestigious,2024-12-06
American Council of Learned Societies (ACLS),ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships),Amy Appleford,2020,"APPLEFORD, AMY ROSE",Boston University,Highly Prestigious,2024-12-06
"Rhodes Trust, The",Rhodes Scholar,Ian Sue Wing,1994,"SUE WING, IAN J",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Samuel A Isaacson,2013,"ISAACSON, SAMUEL A",Boston University,Prestigious,2024-12-06
"United States Institute of Peace, The",Peace Scholar Fellowship Program,Roberta Micallef,1993,"MICALLEF, ROBERTA",Boston University,Not Designated,2024-12-06
National Humanities Center,NHC Fellow,SUSANNE SREEDHAR,2011,"SREEDHAR, SUSANNE J",Boston University,Highly Prestigious,2024-12-06
American Physical Society,APS Fellow,Plamen Ch. Ivanov,2010,"IVANOV, PLAMEN CH",Boston University,Not Designated,2024-12-06
W. M. Keck Foundation,Keck Medical Research Area Grant,Plamen Ch. Ivanov,2015,"IVANOV, PLAMEN CH",Boston University,Not Designated,2024-12-06
National Academy of Education,Spencer Fellow,Scott Seider,2013,"SEIDER, SCOTT",Boston University,Prestigious,2024-12-06
John Templeton Foundation,Templeton Grants,Scott Seider,2015,"SEIDER, SCOTT",Boston University,Not Designated,2024-12-06
John Templeton Foundation,Templeton Grants,Scott Seider,2022,"SEIDER, SCOTT",Boston University,Not Designated,2024-12-06
Howard Hughes Medical Institute (HHMI),HHMI Professor,Muhammad Zaman,2014,"ZAMAN, MUHAMMAD H",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Muhammad Zaman,2015,"ZAMAN, MUHAMMAD H",Boston University,Not Designated,2024-12-06
W. M. Keck Foundation,National Academies Keck Futures Initiative (NAKFI) Grant,MUHAMMAD H. ZAMAN,2009,"ZAMAN, MUHAMMAD H",Boston University,Not Designated,2024-12-06
W. M. Keck Foundation,National Academies Keck Futures Initiative (NAKFI) Grant,MUHAMMAD HAMID ZAMAN,2009,"ZAMAN, MUHAMMAD H",Boston University,Not Designated,2024-12-06
Bill and Melinda Gates Foundation,Gates Global Grand Challenges,Muhammad Zaman,2012,"ZAMAN, MUHAMMAD H",Boston University,Not Designated,2024-12-06
Bill and Melinda Gates Foundation,Gates Global Grand Challenges,Muhammad Zaman,2015,"ZAMAN, MUHAMMAD H",Boston University,Not Designated,2024-12-06
National Academy of Engineering,US Frontiers of Engineering Participant,Muhammad Zaman,2009,"ZAMAN, MUHAMMAD H",Boston University,Not Designated,2024-12-06
National Academy of Engineering,Frontiers of Engineering Education (FOEE),Muhammad Zaman,2010,"ZAMAN, MUHAMMAD H",Boston University,Not Designated,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Muhammad Hamid Zaman,2020,"ZAMAN, MUHAMMAD H",Boston University,Highly Prestigious,2024-12-06
National Academy of Engineering,Japan-America Frontiers of Engineering Symposium Participant,Muhammad Hamid Zaman,2011,"ZAMAN, MUHAMMAD H",Boston University,Not Designated,2024-12-06
Andrew W. Mellon Foundation,Sawyer Seminar,Muhammad Zaman,2022,"ZAMAN, MUHAMMAD H",Boston University,Not Designated,2024-12-06
ADEAGies Foundation,"Gies Award for Outstanding Innovation, Dental Educator",Michelle M. Henshaw,2011,"HENSHAW, MICHELLE",Boston University,Not Designated,2024-12-06
ADEAGies Foundation,"Award for Outstanding Vision, Dental Educator",Raul I. Garcia,2014,"GARCIA, RAUL",Boston University,Not Designated,2024-12-06
American Association for Dental Research,AADR Fellows,Raul Garcia,2023,"GARCIA, RAUL",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Iain M. Cockburn,1989,"COCKBURN, IAIN",Boston University,Not Designated,2024-12-06
Strategic Management Society,Dan and Mary Lou Schendel Best Paper Prize,Iain M. Cockburn,2010,"COCKBURN, IAIN",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Chrysanthos  Dellarocas,2000,"DELLAROCAS, CHRYSANTHOS",Boston University,Prestigious,2024-12-06
Institute for Operations Research and the Management Sciences (INFORMS),Information Systems Society/Distinguished Fellow,Chrysanthos Dellarocas,2020,"DELLAROCAS, CHRYSANTHOS",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"VAN ALSTYNE, MARSHALL",1999,"VAN ALSTYNE, MARSHALL",Boston University,Prestigious,2024-12-06
Association for Information Systems,Best Information Systems Publications Award,Marshall Van Alstyne,2018,"VAN ALSTYNE, MARSHALL",Boston University,Not Designated,2024-12-06
Institute for Operations Research and the Management Sciences (INFORMS),Information Systems Society/Management Science Best Paper Award,Marshall Van Alstyne,2019,"VAN ALSTYNE, MARSHALL",Boston University,Not Designated,2024-12-06
Institute for Operations Research and the Management Sciences (INFORMS),Information Systems Society/ISS Practical Impacts Award,Marshall Van Alstyne,2020,"VAN ALSTYNE, MARSHALL",Boston University,Not Designated,2024-12-06
American Marketing Association,John A. Howard/AMA Doctoral Dissertation Award,Susan Fournier,1995,"FOURNIER, SUSAN",Boston University,Not Designated,2024-12-06
American Marketing Association,Shelby D. Hunt/Harold H. Maynard Award,Susan Fournier,1999,"FOURNIER, SUSAN",Boston University,Not Designated,2024-12-06
Association for Consumer Research,JCR Long-Term Contribution Award,Susan Fournier,2011,"FOURNIER, SUSAN",Boston University,Not Designated,2024-12-06
Journal of Consumer Research,JCR Best Article,Susan Fournier,2007,"FOURNIER, SUSAN",Boston University,Not Designated,2024-12-06
Journal of Consumer Research,JCR Best Article,Susan Fournier,2001,"FOURNIER, SUSAN",Boston University,Not Designated,2024-12-06
American Marketing Association,AMA-Sheth Foundation Doctoral Consortium Fellows,Susan Fournier,1992,"FOURNIER, SUSAN",Boston University,Not Designated,2024-12-06
Marketing Science Institute,MSI Young Scholars,Susan Fournier,2001,"FOURNIER, SUSAN",Boston University,Not Designated,2024-12-06
Journal of Consumer Research,Outstanding Reviewer Award,Susan Fournier,2002,"FOURNIER, SUSAN",Boston University,Not Designated,2024-12-06
American Psychological Association,Division 23-Society for Consumer Psychology-SCP Distinguished Scientific Contribution Award,Susan Fournier,2021,"FOURNIER, SUSAN",Boston University,Not Designated,2024-12-06
Association for Consumer Research,ACR Fellows,Susan Fournier,2023,"FOURNIER, SUSAN",Boston University,Not Designated,2024-12-06
Institute for Operations Research and the Management Sciences (INFORMS),Marketing Science Society/Gary L. Lilien MSI/ISMS Practice Prize,Shuba Srinivasan,2018,"SRINIVASAN, SHUBA",Boston University,Not Designated,2024-12-06
American Marketing Association,AMA-Sheth Foundation Doctoral Consortium Fellows,Shuba Srinivasan,1993,"SRINIVASAN, SHUBA",Boston University,Not Designated,2024-12-06
Amazon,Amazon Research Awards,Shuba Srinivasan,2022,"SRINIVASAN, SHUBA",Boston University,Not Designated,2024-12-06
Marketing Science Institute,Clayton Dissertation Proposal Competition,Jonathan D. Hibbard,1992,"HIBBARD, JONATHAN",Boston University,Not Designated,2024-12-06
American Marketing Association,AMA-Sheth Foundation Doctoral Consortium Fellows,Remi Trudel,2007,"TRUDEL, REMI",Boston University,Not Designated,2024-12-06
American Marketing Association,JPP&M Outstanding Reviewers,Remi Trudel,2020,"TRUDEL, REMI",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Megan MacGarvie,2005,"MACGARVIE, MEGAN",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,James B. Rebitzer,1999,"REBITZER, JAMES B",Boston University,Not Designated,2024-12-06
National Institute for Health Care Management Foundation,Health Care Research Award,James B. Rebitzer,2004,"REBITZER, JAMES B",Boston University,Not Designated,2024-12-06
IZA Institute of Labor Economics,IZA Research Fellow,"Rebitzer, James B.",2005,"REBITZER, JAMES B",Boston University,Not Designated,2024-12-06
International Health Economics Association,Kenneth J. Arrow Award,James B. Rebitzer,2012,"REBITZER, JAMES B",Boston University,Not Designated,2024-12-06
Production and Operations Management Society,Wickham Skinner Awards: Early-Career Research Accomplishments Award,Justin Ren,2007,"REN, ZHONG JUSTIN",Boston University,Not Designated,2024-12-06
Academy of Management,Academy of Management Review/AMR Best Paper Award,"Kahn, William A",1995,"KAHN, WILLIAM",Boston University,Not Designated,2024-12-06
American Sociological Association,"Communications, Information Technologies and Media Sociology Section/CITAMS Paper Award",Siobhan O'Mahony,2005,"O'MAHONY, SIOBHAN",Boston University,Not Designated,2024-12-06
University of Virginia,Batten Institute for Entrepreneurship and Innovation/Batten Fellows,Siobh?n O?Mahony,2018,"O'MAHONY, SIOBHAN",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Jeffrey L. Furman,2004,"FURMAN, JEFFREY",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Timothy Simcoe,2009,"SIMCOE, TIMOTHY S",Boston University,Not Designated,2024-12-06
Academy of Management,Strategic Management Division/Glueck Best Paper Award,Tim Simcoe,2008,"SIMCOE, TIMOTHY S",Boston University,Not Designated,2024-12-06
American Library Association,Notable Books for Adults,Ha Jin,2000,"JIN, XUEFEI",Boston University,Prestigious,2024-12-06
PEN/Faulkner Foundation,PEN/Faulkner Award for Fiction,Ha Jin,2000,"JIN, XUEFEI",Boston University,Highly Prestigious,2024-12-06
PEN/Faulkner Foundation,PEN/Faulkner Award for Fiction,Ha Jin,2005,"JIN, XUEFEI",Boston University,Highly Prestigious,2024-12-06
American Academy in Berlin,Berlin Prize Fellow,Ha Jin,2008,"JIN, XUEFEI",Boston University,Not Designated,2024-12-06
American Academy of Arts and Sciences,American Academy of Arts and Sciences Member/Fellow,Xuefei (Ha) Jin,2006,"JIN, XUEFEI",Boston University,Highly Prestigious,2024-12-06
National Book Foundation,National Book Award-Fiction,Ha Jin,1999,"JIN, XUEFEI",Boston University,Highly Prestigious,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Ha Jin,1999,"JIN, XUEFEI",Boston University,Highly Prestigious,2024-12-06
PEN America,PEN New England/PEN-Hemingway Award for Debut Novel,Ha Jin,1997,"JIN, XUEFEI",Boston University,Not Designated,2024-12-06
"University of Georgia Press, The",Flannery O'Connor Award for Short Fiction,Ha Jin,1997,"JIN, XUEFEI",Boston University,Not Designated,2024-12-06
Wallace Foundation,Lila Wallace-Reader's Digest Writers' Award,HA JIN,1999,"JIN, XUEFEI",Boston University,Not Designated,2024-12-06
PEN America,PEN/O. Henry Prize Stories,Ha Jin,2009,"JIN, XUEFEI",Boston University,Not Designated,2024-12-06
"Optical Society of America, The (OSA)",OSA Fellow,Siddharth Ramachandran,2010,"RAMACHANDRAN, SIDDHARTH",Boston University,Prestigious,2024-12-06
Institute for Electrical and Electronics Engineers (IEEE),IEEE Fellow,Siddharth Ramachandran,2019,"RAMACHANDRAN, SIDDHARTH",Boston University,Not Designated,2024-12-06
International Society for Optics and Photonics (SPIE),SPIE Fellow,"Ramachandran, Siddharth",2019,"RAMACHANDRAN, SIDDHARTH",Boston University,Not Designated,2024-12-06
Department of Defense (DOD),Vannevar Bush Faculty Fellow,Siddharth Ramachandran,2019,"RAMACHANDRAN, SIDDHARTH",Boston University,Not Designated,2024-12-06
American Physical Society,APS Fellow,Siddharth Ramachandran,2022,"RAMACHANDRAN, SIDDHARTH",Boston University,Not Designated,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,Siddharth Ramachandran,2023,"RAMACHANDRAN, SIDDHARTH",Boston University,Prestigious,2024-12-06
United States Association for Computational Mechanics,Gallagher Young Investigator Award,Harold Park,2009,"PARK, HAROLD S",Boston University,Not Designated,2024-12-06
American Society of Mechanical Engineers (ASME),Sia Nemat-Nasser Early Career Award,Harold S. Park,2012,"PARK, HAROLD S",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Harold Park,2007,"PARK, HAROLD S",Boston University,Prestigious,2024-12-06
Department of Defense (DOD),Defense Advanced Research Projects Agency (DARPA) Young Faculty Award (YFA),"Park, Harold",2007,"PARK, HAROLD S",Boston University,Not Designated,2024-12-06
American Society of Mechanical Engineers (ASME),Fellow,Harold Park,2016,"PARK, HAROLD S",Boston University,Not Designated,2024-12-06
United States Association for Computational Mechanics,USACM Fellows Award,Harold Park,2021,"PARK, HAROLD S",Boston University,Not Designated,2024-12-06
American Accounting Association,AAA/Deloitte Foundation Wildman Medal Award,Peter Wysocki,2011,"WYSOCKI, PETER",Boston University,Not Designated,2024-12-06
American Accounting Association,Distinguished Contribution to Accounting Literature Award,Peter Wysocki,2014,"WYSOCKI, PETER",Boston University,Not Designated,2024-12-06
American Accounting Association,Notable Contributions to Accounting Literature Award,Peter D. Wysocki,2014,"WYSOCKI, PETER",Boston University,Not Designated,2024-12-06
Harvard University,Edmond J. Safra Foundation Center for Ethics/Faculty Fellows,James E. Fleming,1999,"FLEMING, JAMES E",Boston University,Prestigious,2024-12-06
Academy of Management,Organizations and the Natural Environment Division/Distinguished Scholar Award,Andrew King,2015,"KING, ANDREW A",Boston University,Not Designated,2024-12-06
Academy of Management,Academy of Management Journal AMJ Best Paper Award,Andrew King,2009,"KING, ANDREW A",Boston University,Not Designated,2024-12-06
"Aspen Institute, The",Faculty Pioneer Award,Andrew King,2001,"KING, ANDREW A",Boston University,Not Designated,2024-12-06
Entrepreneur and Innovation Exchange (EIX),Schulze Publication Awards,Andrew King,2017,"KING, ANDREW A",Boston University,Not Designated,2024-12-06
Alliance for Research on Corporate Sustainability,Outstanding Paper Award,Andrew King,2021,"KING, ANDREW A",Boston University,Not Designated,2024-12-06
Society for Epidemiologic Research,Kenneth Rothman Career Accomplishment Award,Kenneth Rothman,2017,"ROTHMAN, KENNETH J",Boston University,Not Designated,2024-12-06
American College of Epidemiology,Abraham Lilienfeld Award,Kenneth J. Rothman,2014,"ROTHMAN, KENNETH J",Boston University,Not Designated,2024-12-06
Association of Schools and Programs of Public Health,ASPPH Teaching Excellence Award,Matthew Fox,2018,"FOX, MATTHEW",Boston University,Not Designated,2024-12-06
American Journal of Epidemiology,Reviewer of the Year,Matthew Fox,2015,"FOX, MATTHEW",Boston University,Not Designated,2024-12-06
Society for Epidemiologic Research,Tyroler Student Prize Paper Award,Matthew Fox,2007,"FOX, MATTHEW",Boston University,Not Designated,2024-12-06
Society for Epidemiologic Research,Noel Weiss & Tom Koepsell Award for Excellence in Education,Matthew Fox,2020,"FOX, MATTHEW",Boston University,Not Designated,2024-12-06
American Journal of Epidemiology,Reviewer of the Year,Matthew P. Fox,2019,"FOX, MATTHEW",Boston University,Not Designated,2024-12-06
Association of American Physicians,Elected Member,Anthony Hollenberg,1900,"HOLLENBERG, ANTHONY",Boston University,Not Designated,2024-12-06
Association for Research in Vision and Ophthalmology,Gold Fellow,Andrew Taylor,2015,"TAYLOR, ANDREW",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,David A. Boas,2017,"BOAS, DAVID",Boston University,Not Designated,2024-12-06
International Society for Optics and Photonics (SPIE),SPIE Fellow,"Boas, David",2017,"BOAS, DAVID",Boston University,Not Designated,2024-12-06
International Society for Optics and Photonics (SPIE),Britton Chance Biomedical Optics Award,David Alan Boas,2016,"BOAS, DAVID",Boston University,Not Designated,2024-12-06
"Optical Society of America, The (OSA)",OSA Fellow,David Boas,2018,"BOAS, DAVID",Boston University,Prestigious,2024-12-06
Academy for Radiology & Biomedical Imaging Research,Distinguished Investigator (DI) Award,"Boas?, David? A.",2015,"BOAS, DAVID",Boston University,Not Designated,2024-12-06
American Society for Bone and Mineral Research,John Haddad Young Investigator Award,Paola Divieti Pajevic,2000,"DIVIETI PAJEVIC, PAOLA",Boston University,Not Designated,2024-12-06
American Society for Bone and Mineral Research,Fellow,Paola Divieti Pajevic,2022,"DIVIETI PAJEVIC, PAOLA",Boston University,Not Designated,2024-12-06
American Sociological Association,Sociology of Law Section/Distinguished Article Award,Heather Schoenfeld,2014,"SCHOENFELD, HEATHER",Boston University,Not Designated,2024-12-06
Law and Society Association,Dissertation Prize,Heather Schoenfeld,2010,"SCHOENFELD, HEATHER",Boston University,Not Designated,2024-12-06
Alpha-1 Foundation,Research Grant,Valerie Gouon-Evans,2023,"VALERIE, GOUON-EVANS",Boston University,Not Designated,2024-12-06
"Gerontological Society of America, The",Richard Kalish Innovative Publication Award,M. Maria Glymour,2015,"GLYMOUR, MARIA",Boston University,Prestigious,2024-12-06
American Journal of Epidemiology,Reviewer of the Year,M. Maria Glymour,2018,"GLYMOUR, MARIA",Boston University,Not Designated,2024-12-06
American Journal of Epidemiology,Reviewer of the Year,Maria Glymour,2016,"GLYMOUR, MARIA",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),Scientist Development Grant,"GLYMOUR, M MARIA",2010,"GLYMOUR, MARIA",Boston University,Not Designated,2024-12-06
Journal of Consumer Research,JCR Ferber Award,Anat Keinan,2011,"KEINAN, ANAT",Boston University,Not Designated,2024-12-06
Marketing Science Institute,MSI Young Scholars,Anat Keinan,2013,"KEINAN, ANAT",Boston University,Not Designated,2024-12-06
American Marketing Association,AMA-Sheth Foundation Doctoral Consortium Fellows,Anat Keinan,2005,"KEINAN, ANAT",Boston University,Not Designated,2024-12-06
Marketing Science Institute,MSI Scholars,Anat Keinan,2020,"KEINAN, ANAT",Boston University,Not Designated,2024-12-06
Royal Economic Society,Economic Journal Referee Prize,Lucy White,2010,"WHITE, LUCY",Boston University,Not Designated,2024-12-06
American Accounting Association,Financial Accounting and Reporting Section/FARS Outstanding Discussion Award,Francois Brochet,2020,"BROCHET, FRANCOIS",Boston University,Not Designated,2024-12-06
American Accounting Association,Financial Accounting and Reporting Section/Outstanding Discussion Award,Francois Brochet,2020,"BROCHET, FRANCOIS",Boston University,Not Designated,2024-12-06
American Accounting Association,Financial Accounting and Reporting Section/Outstanding Discussion Award,Francois Brochet,2024,"BROCHET, FRANCOIS",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Joshua  Goodman,2014,"GOODMAN, JOSHUA S",Boston University,Not Designated,2024-12-06
American Antiquarian Society,The Drawn-to-Art Fellowship,Ross Barrett,2005,"BARRETT, ROSS",Boston University,Not Designated,2024-12-06
College Art Association,Arthur Kingsley Porter Prize,Ross Barrett,2011,"BARRETT, ROSS",Boston University,Not Designated,2024-12-06
Center for the Advanced Study in the Visual Arts,Predoctoral Fellowship Program,Ross Barrett,2007,"BARRETT, ROSS",Boston University,Not Designated,2024-12-06
Smithsonian Institution,American Art Museum/Patricia and Phillip Frost Essay Award,Ross Barrett,2016,"BARRETT, ROSS",Boston University,Not Designated,2024-12-06
Nineteenth-Century Studies Association,NCSA Emerging Scholars Award,Ross Barrett,2012,"BARRETT, ROSS",Boston University,Not Designated,2024-12-06
College Art Association,Wyeth Foundation for American Art Publication Grant,Ross Barrett,2013,"BARRETT, ROSS",Boston University,Not Designated,2024-12-06
Whiting Foundation,Whiting Public Engagement Seed Grant,David Carballo,2020,"CARBALLO, DAVID MANUEL",Boston University,Not Designated,2024-12-06
American Society of Ichthyologists and Herpetologists,Best Papers,Peter M. Buston,2019,"BUSTON, PETER M",Boston University,Not Designated,2024-12-06
American Society of Ichthyologists and Herpetologists,Best Papers,Peter M. Buston,2020,"BUSTON, PETER M",Boston University,Not Designated,2024-12-06
American Society of Ichthyologists and Herpetologists,Best Papers,Peter M. Buston,2022,"BUSTON, PETER M",Boston University,Not Designated,2024-12-06
"Pew Charitable Trusts, The",Pew Scholars in the Biomedical Sciences,Xue Han,2012,"HAN, XUE",Boston University,Prestigious,2024-12-06
President of the United States of America,Presidential Early Career Awards for Scientists and Engineers (PECASE),Xue Han,2012,"HAN, XUE",Boston University,Prestigious,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Neuroscience,Xue Han,2011,"HAN, XUE",Boston University,Prestigious,2024-12-06
National Academy of Engineering,US Frontiers of Engineering Participant,Xue Han,2017,"HAN, XUE",Boston University,Not Designated,2024-12-06
National Academy of Engineering,US Frontiers of Engineering Participant,Xue Han,2015,"HAN, XUE",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Pathway to Independence Award (K99/R00),"HAN, XUE",2009,"HAN, XUE",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Director?s New Innovator Award (DP2),"HAN, XUE",2012,"HAN, XUE",Boston University,Not Designated,2024-12-06
Department of Defense (DOD),Defense Advanced Research Projects Agency (DARPA) Young Faculty Award (YFA),Xue Han,2015,"HAN, XUE",Boston University,Not Designated,2024-12-06
Brain and Behavior Research Foundation,BBRF Young Investigator Grant,Xue Han,2012,"HAN, XUE",Boston University,Not Designated,2024-12-06
National Academy of Engineering,Grainger Foundation Frontiers of Engineering Grants for Advancement of Interdisciplinary Research,Xue Han,2016,"HAN, XUE",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Xue Han,2022,"HAN, XUE",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Deborah L Perlstein,2016,"PERLSTEIN, DEBORAH",Boston University,Prestigious,2024-12-06
American Public Health Association,Martha May Eliot Award,Eugene Declercq,2013,"DECLERCQ, EUGENE R",Boston University,Not Designated,2024-12-06
Robert Wood Johnson Foundation,RWJF Investigator Awards in Health Policy Research,Eugene Declercq,2004,"DECLERCQ, EUGENE R",Boston University,Not Designated,2024-12-06
Association of Maternal and Child Health Programs,Vince Hutchins Leadership Award,Eugene R. Declercq,2022,"DECLERCQ, EUGENE R",Boston University,Not Designated,2024-12-06
American Society of Addiction Medicine,John P Mcgovern Award and Lecture On Addiction and Society,David L. Rosenbloom,2010,"ROSENBLOOM, DAVID",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Jonathan Appavoo,2013,"APPAVOO, JONATHAN",Boston University,Prestigious,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Computer Science,Sharon Goldberg,2014,"GOLDBERG, SHARON",Boston University,Prestigious,2024-12-06
Internet Research Task Force (IRTF),Applied Networking Research Prize (ANRP),Sharon Goldberg,2014,"GOLDBERG, SHARON",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Sharon Goldberg,2014,"GOLDBERG, SHARON",Boston University,Prestigious,2024-12-06
Microsoft,Microsoft Research/Faculty Fellows,Evimaria Terzi,2010,"TERZI, EVIMARIA D",Boston University,Not Designated,2024-12-06
Google,Google Faculty Research Award,Evimaria Terzi,2011,"TERZI, EVIMARIA D",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Evimaria Terzi,2013,"TERZI, EVIMARIA D",Boston University,Prestigious,2024-12-06
Health Resources in Action,Deborah Munroe Noonan Memorial Research Fund,Jennifer Green,2018,"GREEN, JENNIFER G",Boston University,Not Designated,2024-12-06
American Geophysical Union,Union Fellow,Rachel Abercrombie,2020,"ABERCROMBIE, RACHEL",Boston University,Not Designated,2024-12-06
