awardgoverningsocietyid,awardgoverningsocietyname,awardid,awardname,awardreceivedid,awardreceivedname,awardreceivedawardyear,AAUID,clientfacultyid,orcid,personname,institutionname,prestige,asofdate,asofdate_iso,award_age,award_decade,clean_award_name,award_category,is_recent,is_historical,possible_duplicate
185,Folger Shakespeare Library,1785,Short-term Fellows,713908,James Siemon,2017.0,85375,U40775656,,"Siemon, James",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,8.0,2010s,Short-term Fellows,Standard Award,True,False,False
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",1786,Fulbright Scholar,21229,Nina S. Silber,1999.0,85411,U37963066,,"Silber, Nina S",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,26.0,1990s,Fulbright Scholar,Notable Award,False,False,False
234,National Endowment for the Humanities (NEH),2147,Summer Stipends Awards,305468,Nina Silber,2011.0,85411,U37963066,,"Silber, Nina S",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,14.0,2010s,Summer Stipends Awards,Standard Award,False,False,False
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",1786,Fulbright Scholar,546328,Nina Silber,2015.0,85411,U37963066,,"Silber, Nina S",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,10.0,2010s,Fulbright Scholar,Notable Award,True,False,False
1130,Harvard University,18790,Charles Warren Center for Studies in American History/Fellows,1357682,Nina Silber?,1996.0,85411,U37963066,,"Silber, Nina S",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,29.0,1990s,Charles Warren Center for Studies in American History - Fellows,Standard Award,False,False,False
1130,Harvard University,18790,Charles Warren Center for Studies in American History/Fellows,1357952,Nina Silber?,2016.0,85411,U37963066,,"Silber, Nina S",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,9.0,2010s,Charles Warren Center for Studies in American History - Fellows,Standard Award,True,False,False
1520,Western Association of Women Historians,18781,Founders? Dissertation Fellowship,1357491,Nina Silber,1987.0,85411,U37963066,,"Silber, Nina S",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,38.0,1980s,Founders? Dissertation Fellowship,Standard Award,False,False,False
2154,Gilder Lehrman Institute of American History,12423,Scholarly Fellowships,1181968,"Silber, Nina",2010.0,85411,U37963066,,"Silber, Nina S",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,15.0,2010s,Scholarly Fellowships,Standard Award,False,False,False
1101,Academy of Management,9293,Academy of Management Review/Best Reviewer Awards,867608,Kristin Smith-Crowe,2014.0,86137,U99512509,,"Smith-crowe, Kristin",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,11.0,2010s,Academy of Management Review - Best Reviewer Awards,Standard Award,False,False,False
1101,Academy of Management,9293,Academy of Management Review/Best Reviewer Awards,867633,Kristin Smith-Crowe,2016.0,86137,U99512509,,"Smith-crowe, Kristin",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,9.0,2010s,Academy of Management Review - Best Reviewer Awards,Standard Award,True,False,False
1623,"American Society for Clinical Investigation, The",8501,Member,801874,"Spira, Avrum",2011.0,86640,U05242205,0000-0003-1467-0489,"Spira, Avrum",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,14.0,2010s,Member,Standard Award,False,False,False
1755,Association of American Physicians,9445,Elected Member,885712,Avrum Spira,,86640,U05242205,0000-0003-1467-0489,"Spira, Avrum",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,,Unknown,Elected Member,Standard Award,False,False,False
2002,American Cancer Society,14695,Institutional Research Grants (IRG),1103148,"Spira, Avrum",2018.0,86640,U05242205,0000-0003-1467-0489,"Spira, Avrum",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,7.0,2010s,Institutional Research Grants (IRG),Standard Award,True,False,False
1973,LUNGevity Foundation,11425,SU2C-LUNGevity-ALA Lung Cancer Interception Award,1132112,Avrum Spira,2017.0,86640,U05242205,0000-0003-1467-0489,"Spira, Avrum",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,8.0,2010s,SU2C-LUNGevity-ALA Lung Cancer Interception Award,Standard Award,True,False,False
1469,American Thoracic Society,23300,Research Innovation and Translation Achievement Award,1638615,Avrum Spira,2017.0,86640,U05242205,0000-0003-1467-0489,"Spira, Avrum",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,8.0,2010s,Research Innovation and Translation Achievement Award,Standard Award,True,False,False
29,American Association of Physics Teachers,278,Richtmyer Memorial Award,8214,H. Eugene Stanley,1997.0,86837,U47754058,0000-0003-2800-4495,"Stanley, H Eugene",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,28.0,1990s,Richtmyer Memorial Award,Standard Award,False,False,False
222,National Academy of Sciences,2023,Member of the National Academy of Sciences (NAS Member),43649,H. Eugene Stanley,2004.0,86837,U47754058,0000-0003-2800-4495,"Stanley, H Eugene",Boston University,Highly Prestigious,2024-12-06 03:24:46,2024-12-06,21.0,2000s,Member of the National Academy of Sciences (NAS Member),Major Award,False,False,False
92,American Physical Society,854,Julius Edgar Lilienfeld Prize,190417,H. Eugene Stanley,2008.0,86837,U47754058,0000-0003-2800-4495,"Stanley, H Eugene",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,17.0,2000s,Julius Edgar Lilienfeld Prize,Notable Award,False,False,False
357,Materials Research Society,2840,David Turnbull Lectureship,217538,H. Eugene Stanley,1998.0,86837,U47754058,0000-0003-2800-4495,"Stanley, H Eugene",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,27.0,1990s,David Turnbull Lectureship,Notable Award,False,False,False
353,International Union of Pure and Applied Physics,2834,C3 Commission on Statistical Physics/The Boltzmann Award,200307,H. E. Stanley,2004.0,86837,U47754058,0000-0003-2800-4495,"Stanley, H Eugene",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,21.0,2000s,C3 Commission on Statistical Physics - The Boltzmann Award,Notable Award,False,False,False
170,Council for Advancement and Support of Education,1712,Carnegie Professor of the Year State Winners,250983,H. Eugene Stanley,1992.0,86837,U47754058,0000-0003-2800-4495,"Stanley, H Eugene",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,33.0,1990s,Carnegie Professor of the Year State Winners,Standard Award,False,False,False
92,American Physical Society,4447,Dwight Nicholson Medal for Outreach,359741,H. Eugene Stanley,2003.0,86837,U47754058,0000-0003-2800-4495,"Stanley, H Eugene",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,22.0,2000s,Dwight Nicholson Medal for Outreach,Standard Award,False,False,False
191,John Simon Guggenheim Memorial Foundation,1809,Guggenheim Fellowship,619997,H. Eugene Stanley,1979.0,86837,U47754058,0000-0003-2800-4495,"Stanley, H Eugene",Boston University,Highly Prestigious,2024-12-06 03:24:46,2024-12-06,46.0,1970s,Guggenheim Fellowship,Major Award,False,True,False
409,W. M. Keck Foundation,9228,National Academies Keck Futures Initiative (NAKFI) Grant,862249,H. EUGENE STANLEY,2009.0,86837,U47754058,0000-0003-2800-4495,"Stanley, H Eugene",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,16.0,2000s,National Academies Keck Futures Initiative (NAKFI) Grant,Standard Award,False,False,False
92,American Physical Society,3020,APS Fellow,764168,"Stanley, H Eugene",1974.0,86837,U47754058,0000-0003-2800-4495,"Stanley, H Eugene",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,51.0,1970s,APS Fellow,Standard Award,False,True,False
92,American Physical Society,8562,Outstanding Referee,822142,H. Eugene Stanley,2010.0,86837,U47754058,0000-0003-2800-4495,"Stanley, H Eugene",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,15.0,2010s,Outstanding Referee,Standard Award,False,False,False
286,"American Association for the Advancement of Science, The (AAAS)",3444,AAAS Fellow,758009,"Stanley, H. Eugene",1994.0,86837,U47754058,0000-0003-2800-4495,"Stanley, H Eugene",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,31.0,1990s,AAAS Fellow,Notable Award,False,False,False
191,John Simon Guggenheim Memorial Foundation,1809,Guggenheim Fellowship,32393,Lawrence R. Sulak,2002.0,88227,U77106937,,"Sulak, Lawrence R",Boston University,Highly Prestigious,2024-12-06 03:24:46,2024-12-06,23.0,2000s,Guggenheim Fellowship,Major Award,False,False,False
37,American Astronomical Society,322,Bruno Rossi Prize,247287,Lawrence R. Sulak,1989.0,88227,U77106937,,"Sulak, Lawrence R",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,36.0,1980s,Bruno Rossi Prize,Standard Award,False,False,False
92,American Physical Society,3020,APS Fellow,765165,"Sulak, Lawrence Richard",1984.0,88227,U77106937,,"Sulak, Lawrence R",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,41.0,1980s,APS Fellow,Standard Award,False,False,False
92,American Physical Society,865,WKH Panofsky Prize in Experimental Particle Physics,825058,Lawrence R. Sulak,2018.0,88227,U77106937,,"Sulak, Lawrence R",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,7.0,2010s,WKH Panofsky Prize in Experimental Particle Physics,Notable Award,True,False,False
958,Breakthrough Prizes,4451,Breakthrough Prize in Fundamental Physics,989482,Lawrence R. Sulak,2016.0,88227,U77106937,,"Sulak, Lawrence R",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,9.0,2010s,Breakthrough Prize in Fundamental Physics,Standard Award,True,False,False
1066,Association for Behavioral and Cognitive Therapies,5057,Outstanding Service to ABCT,426626,Michael W. Otto,2010.0,88694,U07250312,0000-0002-8915-7578,"Otto, Michael",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,15.0,2010s,Outstanding Service to ABCT,Standard Award,False,False,False
159,Association for Psychological Science,1644,Fellow,598834,Michael W. Otto,2017.0,88694,U07250312,0000-0002-8915-7578,"Otto, Michael",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,8.0,2010s,Fellow,Notable Award,True,False,False
98,American Psychological Association,5446,APA Fellow,727986,"Otto, Michael W",2013.0,88694,U07250312,0000-0002-8915-7578,"Otto, Michael",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,12.0,2010s,APA Fellow,Notable Award,False,False,False
98,American Psychological Association,5111,Division 12-Society for a Science of Clinical Psychology/Distinguished Scientific Contributions to Clinical Psychology,932014,Michael W. Otto,2019.0,88694,U07250312,0000-0002-8915-7578,"Otto, Michael",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,6.0,2010s,Division 12-Society for a Science of Clinical Psychology - Distinguished Scientific Contributions to Clinical Psychology,Standard Award,True,False,False
1066,Association for Behavioral and Cognitive Therapies,19141,ABCT Fellow,1415879,Michael Otto,,88694,U07250312,0000-0002-8915-7578,"Otto, Michael",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,,Unknown,ABCT Fellow,Standard Award,False,False,False
98,American Psychological Association,9405,Elizabeth Hurlock Beckman Award,1154772,Michael W. Otto,2019.0,88694,U07250312,0000-0002-8915-7578,"Otto, Michael",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,6.0,2010s,Elizabeth Hurlock Beckman Award,Standard Award,True,False,False
98,American Psychological Association,5105,Division 12-Society for a Science of Clinical Psychology/Toy Caldwell-Colbert Award for Distinguished Educator in Clinical Psychology,1640329,Michael Otto,2023.0,88694,U07250312,0000-0002-8915-7578,"Otto, Michael",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,2.0,2020s,Division 12-Society for a Science of Clinical Psychology - Toy Caldwell-Colbert Award for Distinguished Educator in Clinical Psychology,Standard Award,True,False,False
1537,Brain and Behavior Research Foundation,23719,BBRF Independent Investigator Grant,1669714,Michael W. Otto,2001.0,88694,U07250312,0000-0002-8915-7578,"Otto, Michael",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,24.0,2000s,BBRF Independent Investigator Grant,Standard Award,False,False,False
191,John Simon Guggenheim Memorial Foundation,1809,Guggenheim Fellowship,287305,Leonid A. Levin,1993.0,89446,U80184621,,"Levin, Leonid A",Boston University,Highly Prestigious,2024-12-06 03:24:46,2024-12-06,32.0,1990s,Guggenheim Fellowship,Major Award,False,False,False
6,American Academy of Arts and Sciences,101,American Academy of Arts and Sciences Member/Fellow,369316,Leonid A. Levin,2014.0,89446,U80184621,,"Levin, Leonid A",Boston University,Highly Prestigious,2024-12-06 03:24:46,2024-12-06,11.0,2010s,American Academy of Arts and Sciences Member - Fellow,Major Award,False,False,False
204,International Mathematical Union,7136,International Congresses of Mathematicians Plenary and Invited Speakers,634058,Leonid Levin,1994.0,89446,U80184621,,"Levin, Leonid A",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,31.0,1990s,International Congresses of Mathematicians Plenary and Invited Speakers,Standard Award,False,False,False
222,National Academy of Sciences,2023,Member of the National Academy of Sciences (NAS Member),913068,"Levin, Leonid A.",2019.0,89446,U80184621,,"Levin, Leonid A",Boston University,Highly Prestigious,2024-12-06 03:24:46,2024-12-06,6.0,2010s,Member of the National Academy of Sciences (NAS Member),Major Award,True,False,False
303,Alexander Von Humboldt Foundation,4230,Humboldt Research Award,1314019,Leonid Levin,2010.0,89446,U80184621,,"Levin, Leonid A",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,15.0,2010s,Humboldt Research Award,Standard Award,False,False,False
189,"Gerontological Society of America, The",5807,Fellow,749321,"Thompson, LaDora",,89851,U52524246,0000-0002-6481-9029,"Thompson, Ladora",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,,Unknown,Fellow,Standard Award,False,False,False
93,American Physical Therapy Association,867,Catherine Worthingham Fellows of APTA,1513449,LaDora V. Thompson,2022.0,89851,U52524246,0000-0002-6481-9029,"Thompson, Ladora",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,3.0,2020s,Catherine Worthingham Fellows of APTA,Standard Award,True,False,False
366,National Science Foundation (NSF),5815,Faculty Early Career Development (CAREER) Program,516443,"Trachtenberg, Ari",2002.0,90226,U04883142,,"Trachtenberg, Ari",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,23.0,2000s,Faculty Early Career Development (CAREER) Program,Notable Award,False,False,False
92,American Physical Society,3020,APS Fellow,307438,"Tsui, Ophelia",2011.0,90441,U08626305,0000-0003-4210-3692,"Tsui, Ophelia K C",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,14.0,2010s,APS Fellow,Standard Award,False,False,False
41,American Chemical Society,388,Arthur C Cope Scholar Award,29524,James S. Panek,2002.0,90752,U91719526,0000-0002-5733-2511,"Panek, James S",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,23.0,2000s,Arthur C Cope Scholar Award,Notable Award,False,False,False
350,Institute for Electrical and Electronics Engineers (IEEE),3526,IEEE Fellow,357330,Ioannis Paschalidis,2014.0,91072,U44553360,0000-0002-3343-2913,"Paschalidis, Ioannis",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,11.0,2010s,IEEE Fellow,Standard Award,False,False,False
366,National Science Foundation (NSF),5815,Faculty Early Career Development (CAREER) Program,603728,"PASCHALIDIS, IOANNIS",2000.0,91072,U44553360,0000-0002-3343-2913,"Paschalidis, Ioannis",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,25.0,2000s,Faculty Early Career Development (CAREER) Program,Notable Award,False,False,False
221,National Academy of Engineering,7726,US Frontiers of Engineering Participant,1088863,Ioannis Ch. Paschalidis,2002.0,91072,U44553360,0000-0002-3343-2913,"Paschalidis, Ioannis",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,23.0,2000s,US Frontiers of Engineering Participant,Standard Award,False,False,False
3070,International Federation of Automatic Control,18819,IFAC Fellow,1563142,"Paschalidis, Ioannis",2023.0,91072,U44553360,0000-0002-3343-2913,"Paschalidis, Ioannis",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,2.0,2020s,IFAC Fellow,Standard Award,True,False,False
366,National Science Foundation (NSF),24845,National Artificial Intelligence Research Resource (NAIRR) Pilot Program Award,1813874,"Paschalidis, Ioannis",2024.0,91072,U44553360,0000-0002-3343-2913,"Paschalidis, Ioannis",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,1.0,2020s,National Artificial Intelligence Research Resource (NAIRR) Pilot Program Award,Standard Award,True,False,False
199,Institute for Operations Research and the Management Sciences (INFORMS),24801,Senior Member,1810537,Ioannis Paschalidis,2024.0,91072,U44553360,0000-0002-3343-2913,"Paschalidis, Ioannis",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,1.0,2020s,Senior Member,Standard Award,True,False,False
3245,Asia-Pacific Artificial Intelligence Association,19787,AAIA Fellow,1786550,Yannis Paschalidis,,91072,U44553360,0000-0002-3343-2913,"Paschalidis, Ioannis",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,,Unknown,AAIA Fellow,Standard Award,False,False,False
1130,Harvard University,17577,Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows,1330563,Anita Patterson,1996.0,91392,U86886725,,"Patterson, Anita H",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,29.0,1990s,Hutchins Center for African & African American Research - W. E. B. Du Bois Research Institute Fellows,Standard Award,False,False,False
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",1786,Fulbright Scholar,1399857,Anita Patterson,2011.0,91392,U86886725,,"Patterson, Anita H",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,14.0,2010s,Fulbright Scholar,Notable Award,False,False,False
3,Alfred P. Sloan Foundation,27,Sloan Research Fellowship-Mathematics,51469,Robert Pollack,2006.0,93381,U55704090,,"Pollack, Robert J",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,19.0,2000s,Sloan Research Fellowship-Mathematics,Notable Award,False,False,False
511,Simons Foundation,3771,Simons Fellows in Mathematics,581998,Robert Pollack,2016.0,93381,U55704090,,"Pollack, Robert J",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,9.0,2010s,Simons Fellows in Mathematics,Standard Award,True,False,False
511,Simons Foundation,24803,Travel Support for Mathematicians Award,1811431,Robert Pollack,2023.0,93381,U55704090,,"Pollack, Robert J",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,2.0,2020s,Travel Support for Mathematicians Award,Standard Award,True,False,False
374,Harvard Radcliffe Institute for Advanced Study,2887,Radcliffe Institute Fellowship,1391524,Petrus Liu,2021.0,93842,U23917440,,"Liu, Petrus",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,4.0,2020s,Radcliffe Institute Fellowship,Notable Award,True,False,False
315,American Ornithological Society,7766,Elective Member,715825,"Wasserman, Fred E",1984.0,94309,U40341765,,"Wasserman, Frederick E",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,41.0,1980s,Elective Member,Standard Award,False,False,False
374,Harvard Radcliffe Institute for Advanced Study,2887,Radcliffe Institute Fellowship,1610688,Judith Lok,2023.0,94362,U38423398,0000-0001-7526-2572,"Lok, Judith",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,2.0,2020s,Radcliffe Institute Fellowship,Notable Award,True,False,False
323,American Society for Pharmacology and Experimental Therapeutics,2684,Bernard B Brodie Award in Drug Metabolism,734972,David J. Waxman,2018.0,94446,U13252269,0000-0001-7982-9206,"Waxman, David J",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,7.0,2010s,Bernard B Brodie Award in Drug Metabolism,Notable Award,True,False,False
323,American Society for Pharmacology and Experimental Therapeutics,19215,Fellow of the American Society for Pharmacology and Experimental Therapeutics (FASPET),1788791,David J. Waxman,2023.0,94446,U13252269,0000-0001-7982-9206,"Waxman, David J",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,2.0,2020s,Fellow of the American Society for Pharmacology and Experimental Therapeutics (FASPET),Standard Award,True,False,False
191,John Simon Guggenheim Memorial Foundation,1809,Guggenheim Fellowship,55133,Richard B. Primack,2006.0,94718,U25816594,0000-0002-3748-9853,"Primack, Richard",Boston University,Highly Prestigious,2024-12-06 03:24:46,2024-12-06,19.0,2000s,Guggenheim Fellowship,Major Award,False,False,False
303,Alexander Von Humboldt Foundation,4230,Humboldt Research Award,887077,Richard B. Primack,2013.0,94718,U25816594,0000-0002-3748-9853,"Primack, Richard",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,12.0,2010s,Humboldt Research Award,Standard Award,False,False,False
180,Ecological Society of America,1756,George Mercer Award,1315768,Richard B. Primack,2020.0,94718,U25816594,0000-0002-3748-9853,"Primack, Richard",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,5.0,2020s,George Mercer Award,Notable Award,True,False,False
3387,Academia Europaea,21761,Member of the Academia Europaea,1791780,"Primack, Richard",2024.0,94718,U25816594,0000-0002-3748-9853,"Primack, Richard",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,1.0,2020s,Member of the Academia Europaea,Standard Award,True,False,False
54,American Council of Learned Societies (ACLS),488,Contemplative Practice Fellowships,19121,Stephen R. Prothero,2000.0,94813,U20247799,,"Prothero, Stephen R",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,25.0,2000s,Contemplative Practice Fellowships,Standard Award,False,False,False
7,American Academy of Religion,105,AAR Book Award/Best First Book in the History of Religions,8020,Stephen R. Prothero,1997.0,94813,U20247799,,"Prothero, Stephen R",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,28.0,1990s,AAR Book Award - Best First Book in the History of Religions,Notable Award,False,False,False
403,"John W. Kluge Center, The",14669,Scholars in Residence,1098361,Steve R. Prothero,2006.0,94813,U20247799,,"Prothero, Stephen R",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,19.0,2000s,Scholars in Residence,Standard Award,False,False,False
3368,"American Society for the Study of Religion, The",21701,Member,1539784,Stephen Prothero,,94813,U20247799,,"Prothero, Stephen R",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,,Unknown,Member,Standard Award,False,False,False
150,American Statistical Association,1584,ASA Fellow,1669400,"Weiner, Daniel",2023.0,94950,U58465552,,"Weiner, Daniel C",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,2.0,2020s,ASA Fellow,Standard Award,True,False,False
492,American Institute for Medical and Biological Engineering,3606,Fellow,310657,John A White,2005.0,96697,U84184483,0000-0003-1073-2638,"White, John",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,20.0,2000s,Fellow,Standard Award,False,False,False
1103,Biomedical Engineering Society,7675,BMES Fellow,717848,John White,2006.0,96697,U84184483,0000-0003-1073-2638,"White, John",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,19.0,2000s,BMES Fellow,Standard Award,False,False,False
3232,International Academy of Medical and Biological Engineering,19684,IAMBE Fellow,1466813,?John A. White,2019.0,96697,U84184483,0000-0003-1073-2638,"White, John",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,6.0,2010s,IAMBE Fellow,Standard Award,True,False,False
1139,National Institutes of Health (NIH),9927,NIH Outstanding Investigator Award (R35),1399540,"WHITE, LAURA FORSBERG",2021.0,96705,U16251528,0000-0002-0588-8235,"White, Laura F",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,4.0,2020s,NIH Outstanding Investigator Award (R35),Standard Award,True,False,False
366,National Science Foundation (NSF),5815,Faculty Early Career Development (CAREER) Program,1018038,Bjoern Reinhard,2010.0,97024,U30878437,0000-0003-2550-5331,"Reinhard, Bjorn M",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,15.0,2010s,Faculty Early Career Development (CAREER) Program,Notable Award,False,False,False
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",1786,Fulbright Scholar,48837,Ronald Kent Richardson,2005.0,97837,U76888003,,"Richardson, Ronald K",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,20.0,2000s,Fulbright Scholar,Notable Award,False,False,False
1130,Harvard University,17577,Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows,1330768,Ronald K. Richardson,2010.0,97837,U76888003,,"Richardson, Ronald K",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,15.0,2010s,Hutchins Center for African & African American Research - W. E. B. Du Bois Research Institute Fellows,Standard Award,False,False,False
1130,Harvard University,17577,Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows,1330682,Ronald Kent Richardson,2005.0,97837,U76888003,,"Richardson, Ronald K",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,20.0,2000s,Hutchins Center for African & African American Research - W. E. B. Du Bois Research Institute Fellows,Standard Award,False,False,False
1130,Harvard University,17577,Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows,1330579,Ronald Kent Richardson,1997.0,97837,U76888003,,"Richardson, Ronald K",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,28.0,1990s,Hutchins Center for African & African American Research - W. E. B. Du Bois Research Institute Fellows,Standard Award,False,False,False
465,British Academy for the Humanities and Social Sciences,3513,Fellow,259931,"RICKS, Christopher",1975.0,97900,U12863109,,"Ricks, Christopher",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,50.0,1970s,Fellow,Standard Award,False,True,False
328,Andrew W. Mellon Foundation,2706,Distinguished Achievement Award,195812,christopher Ricks,2003.0,97900,U12863109,,"Ricks, Christopher",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,22.0,2000s,Distinguished Achievement Award,Notable Award,False,False,False
6,American Academy of Arts and Sciences,101,American Academy of Arts and Sciences Member/Fellow,2759,Christopher Bruce Ricks,1991.0,97900,U12863109,,"Ricks, Christopher",Boston University,Highly Prestigious,2024-12-06 03:24:46,2024-12-06,34.0,1990s,American Academy of Arts and Sciences Member - Fellow,Major Award,False,False,False
234,National Endowment for the Humanities (NEH),3768,NEH Fellowships for University Teachers,332895,Christopher B. Ricks,1992.0,97900,U12863109,,"Ricks, Christopher",Boston University,Highly Prestigious,2024-12-06 03:24:46,2024-12-06,33.0,1990s,NEH Fellowships for University Teachers,Major Award,False,False,False
208,Keats-Shelley Association of America,1927,Distinguished Scholar Award,325736,Christopher Ricks,2010.0,97900,U12863109,,"Ricks, Christopher",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,15.0,2010s,Distinguished Scholar Award,Standard Award,False,False,False
1368,Society for Textual Scholarship,7161,Richard J. Finneran Award,641985,Christopher Ricks,2017.0,97900,U12863109,,"Ricks, Christopher",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,8.0,2010s,Richard J. Finneran Award,Standard Award,True,False,False
369,Poetry Foundation,14761,Pegasus Award for Poetry Criticism,1111387,Christopher Ricks,2016.0,97900,U12863109,,"Ricks, Christopher",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,9.0,2010s,Pegasus Award for Poetry Criticism,Standard Award,True,False,False
1012,Royal Society of Literature,14916,RSL Fellows,1130728,Christopher Ricks,1970.0,97900,U12863109,,"Ricks, Christopher",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,55.0,1970s,RSL Fellows,Standard Award,False,True,False
6,American Academy of Arts and Sciences,101,American Academy of Arts and Sciences Member/Fellow,598662,"Robert, Dana L",2017.0,98282,U32410271,0000-0002-9417-8242,"Robert, Dana L",Boston University,Highly Prestigious,2024-12-06 03:24:46,2024-12-06,8.0,2010s,American Academy of Arts and Sciences Member - Fellow,Major Award,True,False,False
1625,"Henry Luce Foundation, The",8504,Henry Luce III Fellows in Theology,803440,Dana L. Robert,2016.0,98282,U32410271,0000-0002-9417-8242,"Robert, Dana L",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,9.0,2010s,Henry Luce III Fellows in Theology,Standard Award,True,False,False
