awardgoverningsocietyid,awardgoverningsocietyname,awardid,awardname,awardreceivedid,awardreceivedname,awardreceivedawardyear,AAUID,clientfacultyid,orcid,personname,institutionname,prestige,asofdate
374,"Harvard Radcliffe Institute for Advanced Study",2887,"Radcliffe Institute Fellowship",758890,"Maurice S. Lee","2017",59460,"U46406983","","LEE, MAURICE","Boston University","Prestigious",12/6/2024 3:24:46 AM
1045,"National Council on Family Relations",9747,"Feminism and Family Studies Section/Jessie Bernard Contribution to Feminist Scholarship Paper Award",1707841,"Nazli Kibria","1990",60006,"U63362974","","KIBRIA, NAZLI","Boston University","Not Designated",12/6/2024 3:24:46 AM
159,"Association for Psychological Science",1644,"Fellow",1304640,"Jana Iverson","2019",60357,"U27021774","0000-0001-9160-7825","IVERSON, JANA MARIE","Boston University","Prestigious",12/6/2024 3:24:46 AM
2054,"Autism Science Foundation",12109,"Predoctoral/Postdoctoral Fellowships",1151426,"Jana Iverson","2012",60357,"U27021774","0000-0001-9160-7825","IVERSON, JANA MARIE","Boston University","Not Designated",12/6/2024 3:24:46 AM
2054,"Autism Science Foundation",12109,"Predoctoral/Postdoctoral Fellowships",1151442,"Jana Iverson","2013",60357,"U27021774","0000-0001-9160-7825","IVERSON, JANA MARIE","Boston University","Not Designated",12/6/2024 3:24:46 AM
247,"Newberry Library",2229,"Weiss/Brown Publication Subvention Awards, Short-Term",308852,"Irit Kleiman","2012",61091,"U66616249","","KLEIMAN, IRIT R","Boston University","Not Designated",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",516490,"Kollios, George","2002",62060,"U20965378","","KOLLIOS, GEORGE","Boston University","Prestigious",12/6/2024 3:24:46 AM
471,"IEEE Computer Society",8757,"Certificate of Appreciation",843477,"George Kollios","2010",62060,"U20965378","","KOLLIOS, GEORGE","Boston University","Not Designated",12/6/2024 3:24:46 AM
471,"IEEE Computer Society",8757,"Certificate of Appreciation",843478,"George Kollios","2004",62060,"U20965378","","KOLLIOS, GEORGE","Boston University","Not Designated",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",602970,"LITTLE, THOMAS","1995",62295,"U07141827","0000-0001-5208-5358","LITTLE, THOMAS D C","Boston University","Prestigious",12/6/2024 3:24:46 AM
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",1786,"Fulbright Scholar",188134,"Korobkin, Laura","2009",62329,"U91544052","","KOROBKIN, LAURA H","Boston University","Prestigious",12/6/2024 3:24:46 AM
1324,"Society for the Study of American Women Writers",6937,"Legacy Best Paper Award",613400,"Laura Korobkin","2009",62329,"U91544052","","KOROBKIN, LAURA H","Boston University","Not Designated",12/6/2024 3:24:46 AM
410,"Whiting Foundation",12170,"Dissertation Fellowship",1009703,"Laura Hanft Korobkin","1992",62329,"U91544052","","KOROBKIN, LAURA H","Boston University","Not Designated",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",1019456,"Pinghua Liu","2008",62500,"U67723069","","LIU, PINGHUA","Boston University","Prestigious",12/6/2024 3:24:46 AM
297,"Woodrow Wilson Center for Scholars",2516,"Fellow",51391,"Igor Lukes","2005",64035,"U05147742","","LUKES, IGOR","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
297,"Woodrow Wilson Center for Scholars",3458,"Wilson Center Experts",258196,"Igor Lukes","2005",64035,"U05147742","","LUKES, IGOR","Boston University","Prestigious",12/6/2024 3:24:46 AM
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",1786,"Fulbright Scholar",983227,"Lukes, Igor","2013",64035,"U05147742","","LUKES, IGOR","Boston University","Prestigious",12/6/2024 3:24:46 AM
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",13189,"Fulbright Specialist",1489057,"Lukes, Igor","2014",64035,"U05147742","","LUKES, IGOR","Boston University","Not Designated",12/6/2024 3:24:46 AM
2041,"Arthroscopy Association of North America",12038,"J. Whit Ewing Resident/Fellow Award Essay",1148936,"Akihiro Kanamori","2000",64054,"U88728322","","KANAMORI, AKIHIRO","Boston University","Not Designated",12/6/2024 3:24:46 AM
2041,"Arthroscopy Association of North America",12042,"AANA Research Grants",1148855,"Akihiro Kanamori","1999",64054,"U88728322","","KANAMORI, AKIHIRO","Boston University","Not Designated",12/6/2024 3:24:46 AM
2016,"American Orthopaedic Society for Sports Medicine",11708,"Cabaud Memorial Award",1138977,"Akihiro Kanamori","1999",64054,"U88728322","","KANAMORI, AKIHIRO","Boston University","Not Designated",12/6/2024 3:24:46 AM
3,"Alfred P. Sloan Foundation",27,"Sloan Research Fellowship-Mathematics",204400,"Tasso J. Kaper","1995",64156,"U55691914","0000-0003-0028-6865","KAPER, TASSO J","Boston University","Prestigious",12/6/2024 3:24:46 AM
80,"American Mathematical Society",4522,"AMS Fellow",363415,"Kaper, Tasso Joost","2013",64156,"U55691914","0000-0003-0028-6865","KAPER, TASSO J","Boston University","Not Designated",12/6/2024 3:24:46 AM
387,"Society for Industrial and Applied Mathematics (SIAM)",3593,"SIAM Fellow",300093,"Tasso J. Kaper","2009",64156,"U55691914","0000-0003-0028-6865","KAPER, TASSO J","Boston University","Not Designated",12/6/2024 3:24:46 AM
3,"Alfred P. Sloan Foundation",30,"Sloan Research Fellowship-Physics",57288,"Emanuel Katz","2007",64636,"U37729039","","KATZ, EMANUEL","Boston University","Prestigious",12/6/2024 3:24:46 AM
198,"Institute for Advanced Study",1839,"IAS School of Natural Science/Visitor",327713,"Emanuel Katz","2010",64636,"U37729039","","KATZ, EMANUEL","Boston University","Not Designated",12/6/2024 3:24:46 AM
222,"National Academy of Sciences",7494,"Kavli Frontiers of Science Fellows",649127,"Emanuel Katz","2005",64636,"U37729039","","KATZ, EMANUEL","Boston University","Not Designated",12/6/2024 3:24:46 AM
222,"National Academy of Sciences",7494,"Kavli Frontiers of Science Fellows",649128,"Emanuel Katz","2008",64636,"U37729039","","KATZ, EMANUEL","Boston University","Not Designated",12/6/2024 3:24:46 AM
222,"National Academy of Sciences",7494,"Kavli Frontiers of Science Fellows",649129,"Emanuel Katz","2009",64636,"U37729039","","KATZ, EMANUEL","Boston University","Not Designated",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",1017417,"Emanuel Katz","2007",64636,"U37729039","","KATZ, EMANUEL","Boston University","Prestigious",12/6/2024 3:24:46 AM
413,"National Bureau of Economic Research(NBER)",3019,"NBER Affiliated Scholars",206899,"Kevin Lang","2001",64783,"U32644542","","LANG, KEVIN","Boston University","Not Designated",12/6/2024 3:24:46 AM
3,"Alfred P. Sloan Foundation",26,"Sloan Research Fellowship-Economics",616595,"Lang, Kevin","1987",64783,"U32644542","","LANG, KEVIN","Boston University","Prestigious",12/6/2024 3:24:46 AM
1011,"Royal Economic Society",4872,"Economic Journal Referee Prize",630454,"Kevin Lang","2016",64783,"U32644542","","LANG, KEVIN","Boston University","Not Designated",12/6/2024 3:24:46 AM
3051,"Society of Labor Economists",18756,"SOLE Fellows",1356096,"Lang, Kevin","2010",64783,"U32644542","","LANG, KEVIN","Boston University","Not Designated",12/6/2024 3:24:46 AM
3372,"IZA Institute of Labor Economics",21708,"IZA Research Fellow",1542419,"Lang, Kevin","2009",64783,"U32644542","","LANG, KEVIN","Boston University","Not Designated",12/6/2024 3:24:46 AM
46,"American College of Rheumatology",9925,"Distinguished Educator Award",928585,"Michael P. LaValley","2013",65813,"U50377675","0000-0002-8488-5170","LAVALLEY, MICHAEL P","Boston University","Not Designated",12/6/2024 3:24:46 AM
46,"American College of Rheumatology",9923,"Distinguished Scholar Award",1075433,"Michael LaValley","2019",65813,"U50377675","0000-0002-8488-5170","LAVALLEY, MICHAEL P","Boston University","Not Designated",12/6/2024 3:24:46 AM
413,"National Bureau of Economic Research(NBER)",3019,"NBER Affiliated Scholars",206385,"Robert A. Margo","1982",66085,"U36576319","0000-0003-2709-7490","MARGO, ROBERT A","Boston University","Not Designated",12/6/2024 3:24:46 AM
1260,"Russell Sage Foundation",6518,"Russell Sage Visiting Scholar",587521,"Robert A. Margo","2008",66085,"U36576319","0000-0003-2709-7490","MARGO, ROBERT A","Boston University","Not Designated",12/6/2024 3:24:46 AM
3,"Alfred P. Sloan Foundation",24,"Sloan Research Fellowship-Chemistry",616367,"Keyes, Thomas","1976",66182,"U25813867","0000-0002-4955-3621","KEYES, THOMAS","Boston University","Prestigious",12/6/2024 3:24:46 AM
958,"Breakthrough Prizes",4451,"Breakthrough Prize in Fundamental Physics",1345166,"Alan P. Marscher","2020",66396,"U01848793","0000-0001-7396-3332","MARSCHER, ALAN P","Boston University","Not Designated",12/6/2024 3:24:46 AM
413,"National Bureau of Economic Research(NBER)",3019,"NBER Affiliated Scholars",207074,"Robert King","1994",66895,"U46963679","","KING, ROBERT G","Boston University","Not Designated",12/6/2024 3:24:46 AM
970,"Econometric Society, The",5419,"Econometric Society Fellow",445253,"ROBERT G. KING","2010",66895,"U46963679","","KING, ROBERT G","Boston University","Not Designated",12/6/2024 3:24:46 AM
350,"Institute for Electrical and Electronics Engineers (IEEE)",3526,"IEEE Fellow",266650,"Lev B. Levitin","1994",67443,"U96798506","","LEVITIN, LEV B","Boston University","Not Designated",12/6/2024 3:24:46 AM
492,"American Institute for Medical and Biological Engineering",3606,"Fellow",422786,"Catherine Klapperich","2014",67614,"U20868196","0000-0001-6103-849X","KLAPPERICH, CATHERINE M","Boston University","Not Designated",12/6/2024 3:24:46 AM
221,"National Academy of Engineering",7726,"US Frontiers of Engineering Participant",723639,"Catherine Klapperich","2014",67614,"U20868196","0000-0001-6103-849X","KLAPPERICH, CATHERINE M","Boston University","Not Designated",12/6/2024 3:24:46 AM
1674,"Bill and Melinda Gates Foundation",8727,"Gates Global Grand Challenges",836530,"Catherine Klapperich","2017",67614,"U20868196","0000-0001-6103-849X","KLAPPERICH, CATHERINE M","Boston University","Not Designated",12/6/2024 3:24:46 AM
1103,"Biomedical Engineering Society",7675,"BMES Fellow",860419,"Catherine Klapperich","2018",67614,"U20868196","0000-0001-6103-849X","KLAPPERICH, CATHERINE M","Boston University","Not Designated",12/6/2024 3:24:46 AM
221,"National Academy of Engineering",14029,"Indo-American Frontiers of Engineering Symposium Participant",1089132,"Catherine Klapperich","2014",67614,"U20868196","0000-0001-6103-849X","KLAPPERICH, CATHERINE M","Boston University","Not Designated",12/6/2024 3:24:46 AM
221,"National Academy of Engineering",14029,"Indo-American Frontiers of Engineering Symposium Participant",1089030,"Catherine Klapperich","2010",67614,"U20868196","0000-0001-6103-849X","KLAPPERICH, CATHERINE M","Boston University","Not Designated",12/6/2024 3:24:46 AM
286,"American Association for the Advancement of Science, The (AAAS)",3444,"AAAS Fellow",1335397,"Catherine Klapperich","2020",67614,"U20868196","0000-0001-6103-849X","KLAPPERICH, CATHERINE M","Boston University","Prestigious",12/6/2024 3:24:46 AM
91,"American Philosophical Society",3028,"Sabbatical Fellowships",290017,"Jonathan  Klawans","2010",67625,"U66469955","0000-0002-7389-1719","KLAWANS, JONATHAN","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
7,"American Academy of Religion",105,"AAR Book Award/Best First Book in the History of Religions",23714,"Jonathan Klawans","2001",67625,"U66469955","0000-0002-7389-1719","KLAWANS, JONATHAN","Boston University","Prestigious",12/6/2024 3:24:46 AM
1583,"American Academy for Jewish Research (AAJR)",8206,"Baron Book Prize",775391,"Jonathan Klawans","2000",67625,"U66469955","0000-0002-7389-1719","KLAWANS, JONATHAN","Boston University","Not Designated",12/6/2024 3:24:46 AM
1571,"Memorial Foundation for Jewish Culture",8173,"Fellowship Grant",769286,"JONATHAN KLAWANS","2010",67625,"U66469955","0000-0002-7389-1719","KLAWANS, JONATHAN","Boston University","Not Designated",12/6/2024 3:24:46 AM
350,"Institute for Electrical and Electronics Engineers (IEEE)",3526,"IEEE Fellow",268028,"Ronald W. Knepper","2000",68319,"U51765213","","KNEPPER, RONALD W","Boston University","Not Designated",12/6/2024 3:24:46 AM
330,"Association for Asian Studies",2711,"AAS CIAC Levenson Prizes for Books in Chinese Studies (2 categories)",303427,"Eugenio Menegon","2011",69062,"U70330674","","MENEGON, EUGENIO","Boston University","Prestigious",12/6/2024 3:24:46 AM
198,"Institute for Advanced Study",1833,"IAS School of Historical Studies/Members",542989,"Eugenio Menegon","2015",69062,"U70330674","","MENEGON, EUGENIO","Boston University","Prestigious",12/6/2024 3:24:46 AM
1132,"Chiang Ching-Kuo Foundation",5790,"Scholar Grants",523601,"Eugenio Menegon","2014",69062,"U70330674","","MENEGON, EUGENIO","Boston University","Prestigious",12/6/2024 3:24:46 AM
1130,"Harvard University",21770,"Center for Italian Renaissance Studies/I Tatti Fellow/Appointee",1562598,"Eugenio Menegon","2021",69062,"U70330674","","MENEGON, EUGENIO","Boston University","Not Designated",12/6/2024 3:24:46 AM
134,"American Society of Ichthyologists and Herpetologists",17085,"Best Papers",1766705,"Phillip S. Lobel","2022",70000,"U70891915","","LOBEL, PHILLIP S","Boston University","Not Designated",12/6/2024 3:24:46 AM
1624,"Diversity in Organizations, Communities & Nations Journal Collection",8503,"Diversity in Organizations, Communities & Nations International Award for Excellence",803421,"Margaret Lombe","2016",70113,"U53731029","0000-0002-9704-6982","LOMBE, MARGARET","Boston University","Not Designated",12/6/2024 3:24:46 AM
191,"John Simon Guggenheim Memorial Foundation",1809,"Guggenheim Fellowship",26862,"Susan L. Mizruchi","2001",70319,"U69331314","","MIZRUCHI, SUSAN","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
7,"American Academy of Religion",3099,"American Academy of Religion Individual Research Grant",226538,"Frank J. Korom","2007",70699,"U01857496","","KOROM, FRANK J","Boston University","Prestigious",12/6/2024 3:24:46 AM
234,"National Endowment for the Humanities (NEH)",2147,"Summer Stipends Awards",22711,"Frank J. Korom","2000",70699,"U01857496","","KOROM, FRANK J","Boston University","Not Designated",12/6/2024 3:24:46 AM
191,"John Simon Guggenheim Memorial Foundation",1809,"Guggenheim Fellowship",55041,"Frank J. Korom","2006",70699,"U01857496","","KOROM, FRANK J","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",1786,"Fulbright Scholar",42264,"Frank J. Korom","2004",70699,"U01857496","","KOROM, FRANK J","Boston University","Prestigious",12/6/2024 3:24:46 AM
1681,"The Clark Art Institute",10159,"Clark Fellow",931429,"Frank Korom","2011",70699,"U01857496","","KOROM, FRANK J","Boston University","Not Designated",12/6/2024 3:24:46 AM
2013,"American Institute for Sri Lankan Studies",11697,"AISLS Fellowships",1138472,"Frank J. Korom?","2009",70699,"U01857496","","KOROM, FRANK J","Boston University","Not Designated",12/6/2024 3:24:46 AM
303,"Alexander Von Humboldt Foundation",4230,"Humboldt Research Award",1430694,"Frank J. Korom","2021",70699,"U01857496","","KOROM, FRANK J","Boston University","Not Designated",12/6/2024 3:24:46 AM
98,"American Psychological Association",5075,"Division 8-Society for Personality and Social Psychology-Theoretical Innovation Prize",523210,"Morewedge, C. K.","2010",70905,"U82092009","0000-0001-7502-9279","MOREWEDGE, CAREY","Boston University","Not Designated",12/6/2024 3:24:46 AM
159,"Association for Psychological Science",1644,"Fellow",868469,"Carey Morewedge","2018",70905,"U82092009","0000-0001-7502-9279","MOREWEDGE, CAREY","Boston University","Prestigious",12/6/2024 3:24:46 AM
1089,"Journal of Consumer Research",9086,"Outstanding Reviewer Award",858686,"Carey K. Morewedge","2018",70905,"U82092009","0000-0001-7502-9279","MOREWEDGE, CAREY","Boston University","Not Designated",12/6/2024 3:24:46 AM
98,"American Psychological Association",9729,"Division 8-Society for Personality and Social Psychology-SPSP Fellow",1004882,"Carey K. Morewedge","2018",70905,"U82092009","0000-0001-7502-9279","MOREWEDGE, CAREY","Boston University","Not Designated",12/6/2024 3:24:46 AM
430,"Society of Experimental Social Psychology",18801,"SESP Member",1360540,"Morewedge, Carey","1900",70905,"U82092009","0000-0001-7502-9279","MOREWEDGE, CAREY","Boston University","Not Designated",12/6/2024 3:24:46 AM
1089,"Journal of Consumer Research",6431,"JCR Best Article",1573666,"Carey K. Morewedge","2022",70905,"U82092009","0000-0001-7502-9279","MOREWEDGE, CAREY","Boston University","Not Designated",12/6/2024 3:24:46 AM
1087,"Marketing Science Institute",23741,"MSI Scholars",1681413,"Carey Morewedge","2018",70905,"U82092009","0000-0001-7502-9279","MOREWEDGE, CAREY","Boston University","Not Designated",12/6/2024 3:24:46 AM
492,"American Institute for Medical and Biological Engineering",3606,"Fellow",311572,"Syed Hamid Nawab","2006",72191,"U23848753","","NAWAB, SYED HAMID","Boston University","Not Designated",12/6/2024 3:24:46 AM
221,"National Academy of Engineering",7726,"US Frontiers of Engineering Participant",725043,"Steven Kou","2006",72660,"U58475155","0000-0003-4457-8384","KOU, STEVEN","Boston University","Not Designated",12/6/2024 3:24:46 AM
1054,"Institute of Mathematical Statistics",7931,"IMS Fellows",932096,"Steven Kou","2018",72660,"U58475155","0000-0003-4457-8384","KOU, STEVEN","Boston University","Not Designated",12/6/2024 3:24:46 AM
199,"Institute for Operations Research and the Management Sciences (INFORMS)",24801,"Senior Member",1810592,"Steven Kou","2024",72660,"U58475155","0000-0003-4457-8384","KOU, STEVEN","Boston University","Not Designated",12/6/2024 3:24:46 AM
199,"Institute for Operations Research and the Management Sciences (INFORMS)",24227,"Applied Probability Section/Erlang Prize",1751912,"Steven Kou","2002",72660,"U58475155","0000-0003-4457-8384","KOU, STEVEN","Boston University","Not Designated",12/6/2024 3:24:46 AM
1537,"Brain and Behavior Research Foundation",9122,"BBRF Young Investigator Grant",1413394,"Hengye Man","2010",72805,"U99945329","0000-0002-3530-3066","MAN, HENGYE","Boston University","Not Designated",12/6/2024 3:24:46 AM
54,"American Council of Learned Societies (ACLS)",479,"ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships)",58118,"Kronenberg, Leah","2007",74420,"U23291832","","KRONENBERG, LEAH","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
410,"Whiting Foundation",12170,"Dissertation Fellowship",1009680,"Leah Kronenberg","2002",74420,"U23291832","","KRONENBERG, LEAH","Boston University","Not Designated",12/6/2024 3:24:46 AM
331,"Association for Computing Machinery (ACM)",4998,"ACM Senior Member",632353,"Matta,?Abraham","2006",74582,"U56972786","0000-0003-4528-0344","MATTA, ABRAHAM I","Boston University","Not Designated",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",740960,"MATTA, ABRAHAM","1997",74582,"U56972786","0000-0003-4528-0344","MATTA, ABRAHAM I","Boston University","Prestigious",12/6/2024 3:24:46 AM
250,"Optical Society of America, The (OSA)",2252,"OSA Fellow",1701563,"Roberto Paiella","2024",74973,"U22670878","0000-0002-7183-6249","PAIELLA, ROBERTO","Boston University","Prestigious",12/6/2024 3:24:46 AM
970,"Econometric Society, The",5419,"Econometric Society Fellow",445540,"PIERRE PERRON","2007",75823,"U81195691","0000-0001-6249-3574","PERRON, PIERRE","Boston University","Not Designated",12/6/2024 3:24:46 AM
1669,"International Association for Applied Economectrics",19995,"IAAE Fellow",1507309,"Pierre Perron?","2019",75823,"U81195691","0000-0001-6249-3574","PERRON, PIERRE","Boston University","Not Designated",12/6/2024 3:24:46 AM
350,"Institute for Electrical and Electronics Engineers (IEEE)",3526,"IEEE Fellow",307078,"Malay Kumar Mazumder","2012",76053,"U05632266","0000-0002-4989-4995","MAZUMDER, MALAY KUMAR","Boston University","Not Designated",12/6/2024 3:24:46 AM
3389,"Electrostatics Society of America (ESA)",21767,"Lifetime Achievement Award",1560499,"Malay Mazumder","2008",76053,"U05632266","0000-0002-4989-4995","MAZUMDER, MALAY KUMAR","Boston University","Not Designated",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",602370,"MCDANIEL, JAMES","2000",76304,"U18551749","","MCDANIEL, JAMES G","Boston University","Prestigious",12/6/2024 3:24:46 AM
1188,"SAE International",6283,"Ralph R. Teetor Educational Award",556707,"James G McDaniel","1999",76304,"U18551749","","MCDANIEL, JAMES G","Boston University","Not Designated",12/6/2024 3:24:46 AM
92,"American Physical Society",3020,"APS Fellow",422057,"Pi, So-Young","2014",76740,"U29794658","","PI, SO YOUNG","Boston University","Not Designated",12/6/2024 3:24:46 AM
179,"Department of Energy",8509,"Outstanding Junior Investigator",806080,"So Young Pi","1983",76740,"U29794658","","PI, SO YOUNG","Boston University","Not Designated",12/6/2024 3:24:46 AM
3,"Alfred P. Sloan Foundation",30,"Sloan Research Fellowship-Physics",271725,"Anatoli Polkovnikov","2009",77047,"U47231797","0000-0002-5549-7400","POLKOVNIKOV, ANATOLI","Boston University","Prestigious",12/6/2024 3:24:46 AM
511,"Simons Foundation",3772,"Simons Fellows in Theoretical Physics",337767,"Polkovnikov, Anatoli","2012",77047,"U47231797","0000-0002-5549-7400","POLKOVNIKOV, ANATOLI","Boston University","Not Designated",12/6/2024 3:24:46 AM
92,"American Physical Society",8562,"Outstanding Referee",1393267,"Anatoli Polkovnikov","2021",77047,"U47231797","0000-0002-5549-7400","POLKOVNIKOV, ANATOLI","Boston University","Not Designated",12/6/2024 3:24:46 AM
1804,"Air Force Office of Scientific Research (AFOSR)",9918,"Young Investigator Program (YIP)",1181532,"Anatoli Polkovnikov","2007",77047,"U47231797","0000-0002-5549-7400","POLKOVNIKOV, ANATOLI","Boston University","Not Designated",12/6/2024 3:24:46 AM
92,"American Physical Society",3020,"APS Fellow",1821108,"Anatoli Polkovnikov","2024",77047,"U47231797","0000-0002-5549-7400","POLKOVNIKOV, ANATOLI","Boston University","Not Designated",12/6/2024 3:24:46 AM
54,"American Council of Learned Societies (ACLS)",10148,"Research Fellowships for Recent Recipients of the PhD Degree",929770,"Michael B. Prince","1991",77418,"U07408524","","PRINCE, MICHAEL B","Boston University","Not Designated",12/6/2024 3:24:46 AM
1630,"Louisville Institute",8521,"Sabbatical Grant for Researchers",807351,"Shelly L. Rambo","2018",77991,"U36465033","","RAMBO, SHELLY L","Boston University","Not Designated",12/6/2024 3:24:46 AM
68,"American Geophysical Union",3545,"Union Fellow",299487,"Michael Mendillo","2000",78167,"U10063811","0000-0002-9187-9350","MENDILLO, MICHAEL","Boston University","Not Designated",12/6/2024 3:24:46 AM
250,"Optical Society of America, The (OSA)",2252,"OSA Fellow",476451,"Jerome Mertz","2014",78876,"U51683935","0000-0002-6343-9155","MERTZ, JEROME","Boston University","Prestigious",12/6/2024 3:24:46 AM
492,"American Institute for Medical and Biological Engineering",3606,"Fellow",422808,"Jerome Mertz","2014",78876,"U51683935","0000-0002-6343-9155","MERTZ, JEROME","Boston University","Not Designated",12/6/2024 3:24:46 AM
54,"American Council of Learned Societies (ACLS)",10148,"Research Fellowships for Recent Recipients of the PhD Degree",929886,"Jonathan P. Ribner","1987",78950,"U64944094","","RIBNER, JONATHAN","Boston University","Not Designated",12/6/2024 3:24:46 AM
92,"American Physical Society",3020,"APS Fellow",613671,"Roberts, Bradley Lee","1994",79449,"U97499273","0000-0002-5279-2316","ROBERTS, B LEE","Boston University","Not Designated",12/6/2024 3:24:46 AM
92,"American Physical Society",865,"WKH Panofsky Prize in Experimental Particle Physics",1539447,"B. Lee Roberts","2023",79449,"U97499273","0000-0002-5279-2316","ROBERTS, B LEE","Boston University","Prestigious",12/6/2024 3:24:46 AM
286,"American Association for the Advancement of Science, The (AAAS)",3444,"AAAS Fellow",1716493,"Bradley Lee Roberts","2023",79449,"U97499273","0000-0002-5279-2316","ROBERTS, B LEE","Boston University","Prestigious",12/6/2024 3:24:46 AM
3,"Alfred P. Sloan Foundation",30,"Sloan Research Fellowship-Physics",34596,"Pritiraj Mohanty","2003",80360,"U02591553","","MOHANTY, PRITIRAJ","Boston University","Prestigious",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",515867,"Mohanty, Pritiraj","2005",80360,"U02591553","","MOHANTY, PRITIRAJ","Boston University","Prestigious",12/6/2024 3:24:46 AM
191,"John Simon Guggenheim Memorial Foundation",1809,"Guggenheim Fellowship",26740,"Dilip Mookherjee","2001",80499,"U74548967","0000-0001-8719-0991","MOOKHERJEE, DILIP","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
413,"National Bureau of Economic Research(NBER)",3019,"NBER Affiliated Scholars",358521,"Dilip  Mookherjee","2012",80499,"U74548967","0000-0001-8719-0991","MOOKHERJEE, DILIP","Boston University","Not Designated",12/6/2024 3:24:46 AM
970,"Econometric Society, The",5419,"Econometric Society Fellow",445462,"DILIP MOOKHERJEE","2008",80499,"U74548967","0000-0001-8719-0991","MOOKHERJEE, DILIP","Boston University","Not Designated",12/6/2024 3:24:46 AM
492,"American Institute for Medical and Biological Engineering",3606,"Fellow",544991,"Elise F. Morgan","2015",80631,"U22378783","0000-0002-3994-1890","MORGAN, ELISE F","Boston University","Not Designated",12/6/2024 3:24:46 AM
139,"American Society of Mechanical Engineers (ASME)",8338,"Bioengineering Division (BED)/Master's Level Best Paper Award",809233,"Elise Morgan","1999",80631,"U22378783","0000-0002-3994-1890","MORGAN, ELISE F","Boston University","Not Designated",12/6/2024 3:24:46 AM
1535,"INSIGHT Into Diversity",7957,"Inspiring Women in STEM Award",743434,"Elise Morgan","2015",80631,"U22378783","0000-0002-3994-1890","MORGAN, ELISE F","Boston University","Not Designated",12/6/2024 3:24:46 AM
1434,"American Academy of Orthopaedic Surgeons",7410,"Young Investigator Award",645974,"Elise F. Morgan","2013",80631,"U22378783","0000-0002-3994-1890","MORGAN, ELISE F","Boston University","Not Designated",12/6/2024 3:24:46 AM
1582,"Drexel University",8204,"Executive Leadership in Academic Technology and Engineering (ELATE) Fellow",1541681,"Elise Morgan","2022",80631,"U22378783","0000-0002-3994-1890","MORGAN, ELISE F","Boston University","Not Designated",12/6/2024 3:24:46 AM
91,"American Philosophical Society",3028,"Sabbatical Fellowships",211685,"Rubin, Jeffrey W.","2007",81439,"U53630418","","RUBIN, JEFFREY W","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
198,"Institute for Advanced Study",1854,"IAS School of Social Science/Member",13498,"Jeffrey Rubin","1998",81439,"U53630418","","RUBIN, JEFFREY W","Boston University","Not Designated",12/6/2024 3:24:46 AM
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",1786,"Fulbright Scholar",316999,"Jeffrey Rubin","2000",81439,"U53630418","","RUBIN, JEFFREY W","Boston University","Prestigious",12/6/2024 3:24:46 AM
511,"Simons Foundation",3772,"Simons Fellows in Theoretical Physics",361839,"Anders Sandvik","2014",82386,"U72702444","0000-0002-5638-4619","SANDVIK, ANDERS W","Boston University","Not Designated",12/6/2024 3:24:46 AM
92,"American Physical Society",3020,"APS Fellow",207875,"Sandvik, Anders","2007",82386,"U72702444","0000-0002-5638-4619","SANDVIK, ANDERS W","Boston University","Not Designated",12/6/2024 3:24:46 AM
511,"Simons Foundation",3718,"Simons Investigators",811846,"Anders Sandvik","2017",82386,"U72702444","0000-0002-5638-4619","SANDVIK, ANDERS W","Boston University","Not Designated",12/6/2024 3:24:46 AM
92,"American Physical Society",827,"Aneesur Rahman Prize for Computational Physics",1437289,"Anders W. Sandvik","2021",82386,"U72702444","0000-0002-5638-4619","SANDVIK, ANDERS W","Boston University","Prestigious",12/6/2024 3:24:46 AM
92,"American Physical Society",8562,"Outstanding Referee",1699218,"Anders W. Sandvik","2024",82386,"U72702444","0000-0002-5638-4619","SANDVIK, ANDERS W","Boston University","Not Designated",12/6/2024 3:24:46 AM
